,과목코드,강의이름,교수이름,학기구분,이수구분,학점,사용자이름,총평,출석체크,난이도,학습량,학점,성취감,강의평
0,ACEE334,응용에너지공학(영강),김동완,2019-2학기,전공선택,3,스핀러쉬,5,5,4,4,5,5,"전지에 대해서 배우게 되는데 최근 동향이나 등등 까지 중간에 설명해 주셔서 도움이 많이 되었습니다.
시험 직전 강의에서 집어주시는데 그 내용들이 그대로 나옵니다. 교수님 엄청 좋으셔요!"
1,ACEE334,응용에너지공학(영강),김동완,2019-2학기,전공선택,3,방방,5,5,3,3,5,5,"이번 학기에는 수강 인원이 작아서 절대평가로 성적을 주신 것으로 알고 있습니다.
출석은 매일 시작할때 부르시고, 과제는 없고 퀴즈 1번 있었어요!
리튬 이온 배터리에 대한 전반적인 내용을 다루고 부식에 대한 내용도 조금 다룹니다.
생소한 내용이긴 하지만 교수님께서 설명을 너무 잘해주셔서 수업 잘 듣고 적절히 필기하면 내용을 이해하기에
큰 어려움은 없을 것 같습니다. 그리고 범위가 많기는 한데 시험 직전에 봐야할 부분을 집어주셔서 시험 공부도 편했습니다.
교수님이 너무 좋으셔서 화학에 관심이 있고 적당한 암기에 자신 있으시다면 추천드립니다!"
2,ACEE342,최신콘크리트공학및설계,윤영수,2019-2학기,전공선택,3,하이할루,5,1,2,3,5,5,개론식으로 진행되는 수업으로 학점도 잘 주시고 수업도 재미있게 들을 수 있습니다.
3,ACEE342,최신콘크리트공학및설계,윤영수,2019-2학기,전공선택,3,14,5,5,5,5,4,5,"진짜 학교생활하면서 최고로 만족했던 강의, 다양하게 알려주시고 학점 부담은 줄여주셔서 정말 감사헀던 강의였ㅅ습니다."
4,ACEE342,최신콘크리트공학및설계,윤영수,2019-2학기,전공선택,3,HS,5,3,4,2,5,5,"초반에만 출석체크 몇번 하시고 워낙 학생수가 적었어서 뒤쪽으로 갈수록 안하셨습니다.
4차 산업혁명과 과의 관련된 내용을 주로 배우고 철콘 책뒷부분이 수업 내용이였습니다.
시험은 철콘1이랑 비슷하면서 4차 산업혁명관련 설명문제가 나왔습니다.
개인적으로 수업내용, 교수님의 강의력 등 전부 좋았습니다."
5,ACEE342,최신콘크리트공학및설계,윤영수,2019-2학기,전공선택,3,힣핳,5,1,3,3,5,4,"철콘2 이름바뀐거라는 소문때문에 쫄았는데 진짜 그냥 전반적인 내용 강의 하시고 시험 전에 철콘 2 내용 하나 정도 합니다
학점 잘줍니다 ㅊㅊㅊㅊㅊ"
6,ACEE342,최신콘크리트공학및설계,윤영수,2019-2학기,전공선택,3,asdf12345,5,1,4,3,5,5,철콘1 들으셨던 분들은 비교적 편하게 들으실수있습니다
7,ACEE392,암반역학,이종섭,2019-2학기,전공선택,3,하하12,5,5,3,3,5,5,"중간, 기말 두번의 시험이 있으며, 팀플은 한번 있다. 과제는 없었다.
퀴즈는 딱 한번 봤었는데, OT 다음 첫수업에 암석이름 영어로 외우기 퀴즈를 본다. 많은 양은 아니라서 부담되지는 않는다.
팀플은 발표자료 정리해서 발표하는 것이기 때문에 큰 부담은 없다. 교수님께서 관련 자료도 제공해주셨다. 출석체크는 항상 수업 중간에 교수님께서 직접 하신다.
시험문제로는 유도 문제가 꼭 출제되었던 것 같다. 또한, 개념에 대해 서술하는 문제가 출제되기 때문에 개념을 올바르게 이해하고 서술할 줄 알아야한다. 계산문제도 교과서의 예제를 풀 수 있다면 충분히 풀 수 있을 것 같다. 시험 전 마지막 수업시간에 조교수업이 있는데, 이 때 조교님께서 2~3문제 정도 기출문제를 풀어주신다. 적어도 이 문제는 꼭 제대로 이해하고 들어가야 한다! 수업자료에 빈칸이 많은데 수업 시간마다 잘 필기해 두는 것이 중요한 것 같다."
8,ACEE392,암반역학,이종섭,2019-2학기,전공선택,3,주나,5,4,3,3,5,2,"피피티양은 많은데 너무 세세하게 안해도 돼서 이틀정도만 빡시게 하면 무난한 성적을 얻을 수 있습니다.
조교님이 엄청 착하셔서 부분점수도 많이주시고 ppt 내용에 비해 시험 난이도가 별로 어렵지않습니다.
대부분 점수를 잘맞아서 실수하면 등수가 많이 내려갑니다. 꿀수업이라면 꿀수업이었던것 같습니다."
9,ACEE392,암반역학,이종섭,2019-2학기,전공선택,3,바자다가사,5,4,2,4,5,3,"시험은 중간기말로 보고, 첫 시간에 암석 이름을 외우는 퀴즈를 내주시고 중간 이후 팀플이 하나 있습니다. 교수님이 왠만한 학생들은 얼굴과 이름을 외우셔서 출첵의 의미가 거의 없습니다. 수업은 프린트의 빈칸을 채우는 방식으로 진행되는데, 빈칸과 강조하신 부분만 외우고 시험보셔도 평균 이상은 받습니다. 시험은 썰문제와 유도 문제도 나오기 때문에 잘 대비해야 됩니다."
