,과목코드,강의이름,교수이름,학기구분,이수구분,학점,사용자이름,총평,출석체크,난이도,학습량,학점,성취감,강의평
0,AMSE304,재료공학실험II 실험안내 별도 공지예정(신소재공학부 홈페이지),장호,2019-2학기,전공필수,1,하이디17,5,5,3,2,5,4,"실험은 2번 갔고 레포트는 예비,결과 2개씩 썼습니다. 조교님들이 설명해 주시는것 듣고 참고해가면서 쓰면 그렇게 어렵지 않습니다. 총점수를 보면 다들 점수가 크게는 차이 안나는것 같고 학점은 정말 정말 잘 주십니다!"
1,AMSE462,졸업종합설계Ⅱ(영강) 지도교수 배정 별도 공지예정(신소재공학부 홈페이지),강용묵,2019-2학기,전공필수,3,Fantastic sg,5,5,2,2,3,5,졸업종합설계는 랩실마다 시간 투자해야 하는 정도가 달라지므로 1학기에 신청해보시고 빡센 곳 걸렸다 싶으면 2학기에 다시 신청하세요.
2,AMSE216,바이오재료개론(영강),성윤모,2019-2학기,전공선택,3,으아아아아아악,5,5,3,4,4,5,재료공학을 총망라 한 강의예요. 교수님 강의력 좋으시고 이번에 학점 잘 주셨어요. 텀페이퍼가 조금 귀찮긴 하지만 새로운 아이디어 생각해서 쓰는거라 나름 재밌어요.
3,AMSE216,바이오재료개론(영강),성윤모,2019-2학기,전공선택,3,나기,4,5,4,5,2,5,"출석체크는 매 시간 시작할 때 부르십니다.

바이오 재료 관련해서 금속, 세라믹, 폴리머에서 어떤 재료가 쓰이는지, 어떻게 쓰이는지에 관해 전반적으로 다루십니다. 바이오 관련해서 관심이 없더라도 이때까지 학부에서 배운 지식들이 실질적으로 어떻게 쓰이는지 많이 알 수 있습니다. 또한 재료를 구상할 때 고려해야할 지점도 많이 다뤄 연구자 가실 분이라면 듣기를 추천합니다.

난이도 자체는 평이한데 외울 내용이 정말 많습니다. 재료 발명한 사람 이름 언급하시면 그 분들 이름도 다 외워야하는 식입니다. 실제로 중간고사 문제로 나왔습니다. 프린트 내용 싹 다 외워야 하는데 몇 십 페이지 씩 될 정도로 많습니다.

교수님은 정말 친절하셔서 모르는 거 여쭤보면 친절하게 대답해주십니다. 수업 끝나고 많이 가서 질문하는데 따라가서 듣기만 해도 도움 많이 됩니다.

중간 기말 사이에 과제 하나 있습니다. 이때까지 나오지 않은 물질에 대해 레포트를 작성해서 내는 것으로 주제는 배운 것 사이에서 자유입니다. 관련 논문 읽고 요약하고 새로 제시하고 해야하는데 작성이 영어라 약간 어려움을 겪었습니다. 관련해서 교수님과 약속 잡고 가서 상담할 수 있는데 최대한 빨리 정해서 가시길 추천드립니다.

성취감은 뛰어나지만 성적을 잘 주시는 교수님은 아닙니다. 그래도 많이 배워갈 수 있는 수업이니 잘 생각하셔서 듣기를 추천합니다."
4,AMSE216,바이오재료개론(영강),성윤모,2019-2학기,전공선택,3,213124,4,5,5,5,2,5,"바이오에 뜻이 없는 사람은 굳이 이 과목을 듣는것을 추천하지 않는다. 적당히 공부 한다면 학점은 그리 잘 주시는 편은 아니고 출석10 중간30 기말40 과제20(합 100)중 50이 넘지 않으면 F로 유명하신 분이니 참고하자.
중간고사까지는 의료분야에 쓰이는 금속, 고분자, 세라믹 재료의 특성들에 대해서 다룬다. 중간고사 이후로는 각 신체부위에 사용되는 적용에 대해서 배우게 된다. 중간고사에는 금속의 비중이 크며 기말고사에서는 바이오 센서의 비중이 크다. 기말이 중간에 비해 쉬운편인데도 비중은 더 크므로 중간이 망해도 포기하지 말자.
중간고사 이후로 과제를 알려주시는데 과제에 대한 준비를 철저히 하는 것을 권한다. 기말고사 마지막날까지 제출인데 다들 시험 끝났는데도 학교에서 밤새며 논문을 보는 것은 그리 추천할 만한 경험은 아니다..."
5,AMSE216,바이오재료개론(영강),성윤모,2019-2학기,전공선택,3,Prog,5,5,4,5,4,5,"학부생에게 굉장히 잘해주십니다. 수업 시간 이외에도 교수님에게 찾아가 질문하거나 진로관련 상담 받기에 매우 좋으신 교수님입니다. 개인적으로 수업 자체 양은 많았지만, 그만큼 나름 배우는 것이 있는 편에 속하는 과목이라고 생각합니다."
6,AMSE202,물리화학II(영강),김웅,2019-2학기,전공필수,3,울타리,5,5,4,4,4,5,"믿고 듣는 킹웅 교수님
영강이지만 어려운 내용은 한글로 설명해주신다.

시험은 거의 증명위주. 교수님이 나온다고 한 내용은 거의 반드시 나오니 수업떄 교수님 말씀을 놓치지 말자."
7,AMSE202,물리화학II(영강),김웅,2019-2학기,전공필수,3,괜찮아,5,3,3,4,4,4,"어려운 내용을 쉽게 배울 수 있는 수업이었습니다.
시험 난이도가 쉽습니다.
다들 열심히 하는 편입니다.
학점을 잘 줍니다.
단, 근본적으로 내용이 어려운 만큼 조금이라도 복습 열심히 안하면 바로 떨어집니다."
8,AMSE202,물리화학II(영강),김웅,2019-2학기,전공필수,3,후회할짓하지말자,3,4,4,4,3,4,양자역학 어려워요ㅠ 근데 수업을 처음부터 잘 들으시고 책으로 공부 따로 열심히 하시면 어렵긴 해도 성적은 잘 받으실 수 있을 것 같아요. 교수님이 학생들의 편의를 항상 신경써주시고 좋으시기 때문에 열심히하면 학점도 잘 받으실 거에요.
9,AMSE202,물리화학II(영강),김웅,2019-2학기,전공필수,3,고기2냠냠,5,3,2,3,4,3,출석도 초반에 엄청 빡세게 하시고 뒤로 갈 수록 안 부르심. 하지만 수업에 집중을 안 한다 싶을 때 랜덤으로 질문을 하심... 학생들이 다 모른다고 대답하긴 하는데 막상 답은 피피티에 띄워져 있을 때가 많음ㅋㅋㅋㅋㅋ 여튼 교수님 성격 엄청 좋으시고 문제도 책 앞에 문제들하고 피피티에서만 나옴 그리고 엄청 쉬워서 평균이 다른 과목에 비하면 무슨 1학년 때 화학 평균마냥 높게 나옴... 그래서 한두개 틀리면 학점이 우수수 내려가는 소리가 들림 하지만 또 꼴지만 하지 않는다면 비 정도는 무난하게 받을 수 있다
