,과목코드,강의이름,교수이름,학기구분,이수구분,학점,사용자이름,총평,출석체크,난이도,학습량,학점,성취감,강의평
0,ARCH210,건축설계Ⅱ(영강),Santiago-Porras,2019-2학기,전공필수,6,Losad,5,5,5,5,3,5,"강의평가들에서 하나같이 힘들지만 배울 게 많다고 말하는데에는 이유가 있는 것 같아요.

올사람은 오더라고요."
1,ARCH230,기초설계Ⅱ,김자영,2019-2학기,전공필수,3,KUJW,5,5,3,3,4,5,"예쁜걸 좋아하시는 교수님이어서 설계 디자인을 할때 이왕이면 예쁘게 만들어가면 교수님께서 좋아하십니다
또한 친환경적인 것도 좋아하셔서, 음식으로 작품을 만들면 ""A+""을 주겠다곤 하십니다
일대일로 크리틱을 해주시고, 각각의 작품에 어울리거나 도움이 될만한 자료들을 카톡으로 보내주셔서 좋습니다
체계적으로 어떤 아이디어에서 디벨롭해나가는 과정을 좋아하셔서 한 아이디어를 잡았다면 그걸 쭉 밀고나가는 것을 좋아하십니다"
2,ARCH230,기초설계Ⅱ(영강),김세진,2019-2학기,전공필수,3,Hissu,5,5,5,4,5,5,"김세진 교수님.... 그저 빛..⭐️
과제량이 많지만(매주 월요일은 밤샜어요)!!!! 절대 교수님을 욕할 순 없었던 설계..
학생 작품에 관심을 많이 가져주시고 이해해주시며 발전방향을 잘 제시해주십니다!
과정은 졸전때까지 프로젝트a,b 빡시게 끝내고 나머지동안 길게 한 프로젝트를 했습니다."
3,ARCH334,건축설계Ⅳ(캡스톤디자인),이재우,2019-2학기,전공필수,6,hsjafm95,5,3,3,3,3,5,정말 많이 배울 수 있어요! 이재우 교수님반 꼭 강추입니다!
4,ARCH334,건축설계Ⅳ(캡스톤디자인),이재우,2019-2학기,전공필수,6,호림지갑,5,1,1,3,4,4,"출석 : 출석을 체크하긴 하시지만 학점에 영향 없음

난이도 : 교수님이 원하시는 바를 정확하게 얘기해주시기 때문에 성향이 크게 어긋나지만 않는다면 문제될 것이 하나도 없음

학습량 : 교수님이 케이스 스터디를 위해 다양한 정보들을 카톡/강의를 통해 알려주십니다. 다만 그것을 보고 공부하는지 안하는지는 학생 마음

학점 : 생각보다 잘 주십니다. 이번학기 마음먹고 던진걸 생각하면 이정도는 후하다..?싶을 정도

성취감 : 네 개 반들 중 이재우 교수님반만 국내 사이트를 지정하여 진행했기 때문에 타 반에 비해 국내 법/제도 등을 조금 더 알 수 있었습니다

교수님이 원하는 것이 생각보다 확고하기 때문에 교수님 맘에도 들고, 자기 마음에도 드는 프로젝트를 찾는 것이 학점과 설계 수업 재미 둘 다 찾을 수 있는 방법이라고 생각하지만, 자기 생각을 관철한다고 교수님이 마음에 안들어하고 그런건 전혀 없기 때문에 학기 중에 열심히 하면 된다고 생각합니다.
학점 나오는 평가에서 과정과 결과물의 비중은 못해도 2:8 정도?"
5,ARCH334,건축설계Ⅳ(캡스톤디자인),이재우,2019-2학기,전공필수,6,이학교시스템너무어렵다,5,4,4,5,5,5,"현실적인 건축을 지향하시면서 건축학도들의 건축실험정신을 강조하신다
아, 3학년 설계반에 꿀은 없다"
6,ARCH334,건축설계Ⅳ(캡스톤디자인),이재우,2019-2학기,전공필수,6,걀걀,5,5,3,5,4,4,"할거 진짜 많다...
할거 하면 학점은 주신다."
7,ARCH334,건축설계Ⅳ(캡스톤디자인)(영강),김영재,2019-2학기,전공필수,6,앙기모기모띠,5,5,4,5,4,4,힘들지만 좋아요 한번 들어보세요 들어볼만합니다.
8,ARCH334,건축설계Ⅳ(캡스톤디자인)(영강),김영재,2019-2학기,전공필수,6,맹맹맹,5,4,4,5,3,5,설계수업이 팀플로 진행되고 교수님이 열정이 많으셔서 학생들에게 바라는 게 많다. 그만큼 힘들지만 배우는 게 많다.
9,ARCH422,건축설계Ⅵ(캡스톤디자인),"여영호,홍근표",2019-2학기,전공필수,6,다디기,5,1,1,1,3,3,학점은 짜게 주시는 편입니다. 배우고자 하면 배울게 보입니다.
10,ARCH422,건축설계Ⅵ(캡스톤디자인),"여영호,홍근표",2019-2학기,전공필수,6,팡찌니,5,3,3,3,4,5,"여영호 반이 쉽다 쉽다 하는데 쉽습니다.
그런데 여기서 쉽다는 말은 교수님이
대충봐주고 에이플을 폭격한다 이런뜻은 아니고
상대적으로 학생들에게 너무 과도한 부하를 주는
타 수업들에 비하여 홍근표교수님께서
학생이 갈피를 못잡고 있더라도 한번에 짚어주셔서
마감을 치도록 이끌어주시는 부분이 탁월하셔서
이리저리 왔다갔다 공연히 날리는 시간이 적은 것입니다.
여영호 교수님은 주로 외관의 디자인을 중요하게 생각하셔서
재미없는 디자인이 되지 않도록 해주십니다
본인이 완전 실무 위주의 practical한 설계를 한다
하시면 가지 않는것 추천합니다. 그 외 경우 추천"
11,ARCH422,건축설계Ⅵ(캡스톤디자인),"여영호,홍근표",2019-2학기,전공필수,6,로얄젤리,5,3,3,3,5,4,여교수님께도 홍교수님께도 정말 배울게 많았던 갓갓 수업이었습니다.
12,ARCH448,해외도시건축설계Ⅱ(영강),여영호,2019-2학기,전공선택,3,흔진,5,1,3,5,5,5,"해외도시 = 해외로 워크샵가서 팀으로 작업하고 결과물을 어떤 기업에가서 발표하는거에요!
말이 좀 복잡한데.
1. 주최해주는 회사있음 (사이트, 프로그램 등등 제시해주고 중간평가도 해줌)
2. 우리끼리 알아서 그 나라로 가면됨 (장학금 100만원주고 나머지 우리돈으로 해야됨 ㅜㅜ)
-> 먼저가서 놀고있어도 되고, 끝나고 더 여행하고 와도됨
3. 사전에 팀을 짜서 어느정도 리서치, 스터디 이후 가서 작업하게됨.

재밌었고 학점도 잘 받았어요!
근데 또열릴지 모르겠네요 ㅜㅜ...."
13,ARCH450,건축설계Ⅷ(캡스톤디자인),"이해원,홍택",2019-2학기,전공필수,6,너굴왕,5,4,4,3,5,3,솔직히 투자한시간에 비해 학점너무잘주심.
14,ARCH420,"인테리어계획론(영강) (신공학관 B110호)For exchange program, it is recommended that your background is either architecture or design.",김자영,2019-2학기,전공선택,3,xurshc,5,4,5,1,5,3,성적도 잘 주시고 열심히 하시면 배워가는 것도 어느정도 있습니다. 중간도 에이포 몇 장이고 기말도 팀플로 하는데 부담이 없어서 선택으로 꿀과목이에요.
15,ARCH420,"인테리어계획론(영강) (신공학관 B110호)For exchange program, it is recommended that your background is either architecture or design.",김자영,2019-2학기,전공선택,3,리이이이바이,4,3,3,3,4,4,"김자영 교수님 수업은 있으며 들으세요
영강이었지만 생각보다 부담스럽지 않았어요
전선 들을거 거 없으면 들으시길!"
16,ARCH326,근대건축사,김현섭,2019-2학기,전공필수,3,라이따이한,4,4,3,4,3,5,"처음엔 내용이 생소해서 그런지 어렵고 지루했었는데
중간까지는 재밌는가 싶더니
후반가니까 또 재미가 없었슴다 ㅎㅎ
그래도 많이 배우고 시야가 넓어진 수업이었어요
교수님은 진짜 아는거 많으시고 알려주시고 싶어하는것도 많으신데
그저 느낌은 평범한 인문교양 라디오 같은 느낌.."
17,ARCH326,근대건축사,김현섭,2019-2학기,전공필수,3,xurshc,4,5,4,5,5,5,배우는 내용도 많고 교수님도 많이 알려주실려고 하십니다. 노력하면 많이 얻어갈 수 있는 수업이고 학점도 잘 주십니다. 성취감도 짱입니다.
18,ARCH326,근대건축사,김현섭,2019-2학기,전공필수,3,hsjafm95,4,5,4,4,4,5,쉽지 않은 내용들이지만 성실히만 한다면 충분히 재밌고 많이 배울 수 있답니다!
19,ARCH326,근대건축사,김현섭,2019-2학기,전공필수,3,코코어어,3,5,4,4,3,4,근대건축사에 전반을 다룬 수업입니다. 시험을 잘보셔야 합니다. 근데 대부분 암기인 시험이 아쉽습니다.
20,ARCH326,근대건축사,김현섭,2019-2학기,전공필수,3,힇힇,4,5,3,2,3,3,서건사를 듣고 이 강의를 들으신다면 김현섭 교수님의 새로운 면모를 발견하실수 있습니다. 한국어를 아주 잘하시기 때문입니다.시험은 논술처럼 글쓰기로 나옵니다. 내용은 책 반권을 한학기동안 진행하기때문에 그렇게 많지 않습니다.
21,ARCH326,근대건축사,김현섭,2019-2학기,전공필수,3,우아아아우,4,5,3,4,2,5,"강의 자체는 정말 재미있게 들었는데, 시험문제는 항상 내시던 것에서 많이 나오는데 몇 문제씩 새로이 내는게 있어서 수업시간에 잘들어야합니다. 특강이나 초청강연등 시험에 낼 것이라고 말을 같이 하시는데 이런건 꼭 나오니까 점수 잘 챙기셔야 좋을 것 같습니다. 학습량 적다면 적은거같기도하고 많다면 많은데 몇일안에 끝낼 수 있는 양이긴 하나 보통 다들 공부를 열심히 하는지 외우는 것 이상으로 조금 더 신경써야할 부분들이 있습니다. 수업마다 퀴즈한번씩 보는데 이 점수가 나중에 등수 가르는데 중요하게 작용해서 출석 꼭 다하시고 퀴즈도 빼지않고 맞춰서 점수 챙기시면 좋은 결과 생기실 수 있을겁니다!"
22,ARCH326,근대건축사,김현섭,2019-2학기,전공필수,3,디비야,5,5,3,3,4,5,"전반기/ 후반기 수업의 양상이 조금 갈렸던 수업이 아니었나 싶습니다. 전체적으로 수업의 퀄리티는 높습니다.
교수님께서 워낙 아는게 많으시고 설명을 재밌게 잘 해주십니다. 수업의 내용이나 난이도 자체는 그렇게 어렵지 않습니다.
전반기는 근대건축사 전반의 양상을 훑고 후반기부터는 개별 사례 위주로 공부합니다. 교과서는 교수님이 쓰신 책인데 양이 많지 않고 어렵게 쓰이지 않았습니다.
전반기 수업은 교과서 + 교수님 ppt 병행이고 후반기는 교과서 위주로 공부하는데 교수님이 수업에서 중요하*다고 하는 부분을 잘 체크해두시고 아무래도 범위가 많지 않은 만큼 작은 디테일을 잘 기억하는게 좋습니다.
개인적으로는 전반기수업은 ppt랑 교과서 둘 다 밀도있게 진행돼서 배우는게 많았지만 후반기수업은 수업 안듣고 교과서만 봐도 시험보는데 무리가 없을만큼이라 아쉬웠습니다.
평가는 출석 + 퀴즈 + 팀 과제 + 중간 + 기말 + 리포트 인데
퀴즈, 팀 과제, 리포트는 크게 부담되지는 않고 변별력도 크지 않아 남들 하는 만큼만 따라오면 됩니다. 퀴즈는 수업시간 막판에 돌발적으로 보기도 하는데 누가봐도 내기 편한 것들로 간단히 2~3 문제 나옵니다 (ex. 사람 이름, 내기 쉬운 외래어 등)
중간, 기말은 편차가 크기 때문에 성적이 거의 여기서 결정되는 것 같습니다. 단답 파트와 서술형파트로 나뉘어있으며 김현섭교수님 서건사 수업과 마찬가지로 단답은 쉽고 서술형은 잘 쓰기 어렵습니다.
서술형은 대략 어떤 주제가 나올지 공부하다보면 예측이 되기 때문에 시험보기전에 공책에 간략히 써보고 가는게 좋은 방법 같습니다."
23,ARCH326,근대건축사,김현섭,2019-2학기,전공필수,3,피땀눈물학점,4,5,4,4,3,3,"책을 기반으로 수업하시고 출석체는 항상하십니다.
중간기말고사는 단답형과 서술형으로 나오며 교수님이 수업하신 부분에서 많이 출제됩니다.
중간 끝나고 팀플이 한번 있으며 팀플은 무난하게 가능합니다."
24,ARCH326,근대건축사,김현섭,2019-2학기,전공필수,3,호빈송,3,5,3,3,4,4,출석은 항상 하고요 4~5번 정도 퀴즈도 봅니다. 학점은 잘 주시는편이에요.
25,ARCH326,근대건축사,김현섭,2019-2학기,전공필수,3,흥흥,4,5,3,4,4,5,퀴즈도 자주 보고 팀별 발표도 매우 귀찮았습니다. 내용이 어렵지는 않고 교수님이 강의력이 좋으시긴 합니다.. 여러모로 성취감도 많이 얻을 수 있지만...
26,ARCH326,근대건축사,김현섭,2019-2학기,전공필수,3,이학교시스템너무어렵다,5,5,4,3,5,5,김현섭 교수님 강의 중 가장 보람차고 유익한 강의
27,ARCH326,근대건축사,김현섭,2019-2학기,전공필수,3,리이이이바이,4,5,4,4,3,5,"김현섭 교수님 수업방식 고대로 입니다.
출첵도 빡세고
팀플하나
중간기말 시험
퀴즈6번 봅니다

하는만큼 나와요 ㅠ"
