,과목코드,강의이름,교수이름,학기구분,이수구분,학점,사용자이름,총평,출석체크,난이도,학습량,학점,성취감,강의평
0,ARDE424,디자인사례연구(영강) 교환학생신청가능,김보섭,2019-2학기,전공선택,3,jdy8739,5,3,3,3,3,3,두명씩 조를 짜서 자신이 관심있는 분야의 현업자를 만나서 인터뷰하고 책형식으로 정리해 공유하는 수업입니다. 다양한 분야에 대해서 들을 수 있어서 좋았어요.
1,ARDE127,자연미학과미술의시공간,송희경,2019-2학기,교양,3,치밍잉잉,5,4,2,3,5,5,"진짜 송희경 교수님은 갓갓갓 입니다..ㅜㅜ
제가 이 강의를 수강신청하기를 참 잘했다는 생각이 듭니다.
일단 절대평가입니다. 그렇다고 교수님이 어렵게 문제를 내시는 건 절대 아니에요
수업시간에 잘 듣고 필기하고 하면 얻어가는 것도 많을 뿐만 아니라
시험 전주에 시험에 나오는 것들을 찝어 주시기 때문에 그거 위주로 공부하시면 에이쁠 정말 잘 받으실 수 있고 저도 받았습니다.
그리고 중간 기말 외에 보고서 2번 제출이 있는데 직접 박물관을 가야한다는 단점이 있지만 그래도 보고서 내시고 느낀점 위주로 쓰시면 그냥 보고서 점수는 주시는 것 같았어요
여튼 얻어가는 것도 엄청 많았고 디조도 아니였는데 정말 이 강의는 핵명강 앤드 꿀강
교수님 강의력이 워낙 좋으셔서 ㅜㅜ 후회 안하실 겁니다."
2,ARDE127,자연미학과미술의시공간,송희경,2019-2학기,교양,3,짠짠짠,5,5,2,2,3,5,최고입니다 교수님도 재미있으셔서 통강인데 안 지루하고 박물관 견학 후 내는 보고서는 에이포 한 쪽인데다가 내용은 안 보시는 것 같습니다 양식도 따로 없습니다 중간고사 기말고사 있지만 나올 부분을 집어 주셔서 그 부분만 외우면 되고 시험은 서술형(논술형x)과 단답형인데 서술형 문제도 키워드까지 집어 주십니다 성적은 절대평가로 주십니다
3,ARDE127,자연미학과미술의시공간,송희경,2019-2학기,교양,3,pizzaman,5,5,1,1,5,5,최고의 수업! 잘 외우기만하면 점수 A+입니다
4,ARDE127,자연미학과미술의시공간,송희경,2019-2학기,교양,3,자바칩,5,5,3,3,4,5,"동양화를 좋아하기만 한다면 한 학기 내내 행복하게 들을 수 있는 명명명명강!!!!
교수님께서 강의력이 정말정말 좋으시고 설명도 쏙쏙 들어오게 잘 해 주신다!
관심은 있지만 잘 알지는 못해 아쉬웠던 사람들을 위한 동양산수화 입문용으로도 좋은 것 같다. 시험에 대한 부담도 과중한 편은 아님. 교수님께서 천사표시다ㅠㅠㅠㅠㅠ산수화 이름이 워낙 다 거기서 거기라 공부하다가 산...강...하면서 현타가 올 수는 있..
지만 미술을 사랑하는 사람이라면 절대절대 후회하지 않을 강의!"
5,ARDE127,자연미학과미술의시공간,송희경,2019-2학기,교양,3,분당선통학러,5,5,2,2,5,5,"교수님이 재밌고 좋으신 분이다. 다만 내용자체가 동양미술사에 가까워서 흥미롭다고 느껴지지는 않았다.
그래도 중간,기말고사 공부량은 엄청 적었다. 하루나 이틀전에 빡세게 해도 충분히 A+ 나온다. 절대평가였음.
국립중앙박물관이랑 고려대박물관 견학수업 2번 있었고 레포트 제출함."
6,ARDE127,자연미학과미술의시공간,송희경,2019-2학기,교양,3,뀨류뀨류쀼힝,5,5,5,3,3,3,"교수님이 정말 좋으심.
우리에게 친근감있게 다가오시며 아는 것이 많으심.
지금까지 배워보지 않은 분야라 흥미로웠음.
학습량은 교수님이 시험 전에 시험에 나올 것을 찝어주셔서 많지 않은 꿀강임.
국립중앙박물관과 고대박물관 방문 과제가 있음.
좋은 교양강의라고 생각."
7,ARDE127,자연미학과미술의시공간,송희경,2019-2학기,교양,3,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
8,ARDE127,자연미학과미술의시공간,송희경,2019-2학기,교양,3,호랑이기운얍,5,5,2,2,4,5,"피피티 양도 그렇게 많지 않은데, 시험기간 되면 그중에서 시험문제 나오는거 알려주셔서 공부하기 무척 편해요.
객관식 주관식 다 뭐 나올지 알려주시고 그중에서 골라서 문제나와요
수업도 재밌고 교수님도 재치있으셔서 이번 학기 가장 만족하고 좋았던 수업이에요"
9,ARDE127,자연미학과미술의시공간,송희경,2019-2학기,교양,3,카레맨,5,5,1,1,5,3,"수업진행 매우 재밌게 하시고 시험문제 미리 찍어주십니다. 과제도 제출만 하면 됨. 동양화 관심없어도 정말 재미있게 설명하시기 때문에 듣는 것을 추천
레포트 2개에 중간기말 시험봐요. 시험 쉽게 내시고 학점도 잘 받을 수 있음 교수님 최고에욥"
