,과목코드,강의이름,교수이름,학기구분,이수구분,학점,사용자이름,총평,출석체크,난이도,학습량,학점,성취감,강의평
0,BMED326,의공학실험Ⅱ(영강),윤대성,2019-2학기,전공필수,2,xX성북구나발의제왕Xx,5,4,5,4,3,5,조교님들이 잘 설명 해주세요. 열심히 실험하고 레포트 쓰면 학점 잘 나와요. 그런데 평가는 조교들마다 좀 달라요.
1,BMED326,의공학실험Ⅱ(영강),윤대성,2019-2학기,전공필수,2,ns2015,5,5,5,5,5,5,학점잘주시고 내용도 많이 배우고 좋았습니다.
2,BMED326,의공학실험Ⅱ(영강),윤대성,2019-2학기,전공필수,2,혼합17차,5,4,3,3,5,5,"들었던 실험 과목 가운데 가장 실용적,실질적으로 도움이 됐던 강의.
biochemical 혹은 optical한 분석기법이나 장비를 다양하게 동원해 바이오 진단기기의 기초적인 작동원리와 기반지식을 매주 섭렵해가는 재미가 있다.
실제 논문을 출원했거나 유관 프로젝트에 참여 중인 대학원생분들이 직접 친절하고도 꼼꼼한 설명을 보태주시기 때문에 실험 당시에 '왜'그렇게 하는지 의문이 생기더라도 레포트를 작성하고 질문하면서 여러모로 깨닫고 이해할 수 있다. 윤대성 교수님 랩 타임 때는 예비레포트를 작성하지 않고 결레만 충실히 써가면 되므로 학부생의 시간도 절약된다. 무엇이 중요한지 핵심을 수업 시간(실험 진행 중)에 명확히 강조해 주시기 때문에 시험 대비 부담이 적고, 핵심 개념들을 챙겨가게 되므로 수강생들의 전공지식에 대한 이해도도 증가할 것."
3,BMED424,의공학특강Ⅱ(영강),정아람,2019-2학기,전공선택,1,xX성북구나발의제왕Xx,5,5,1,1,5,3,패스 페일 과목으로 1학점이지만 수업때 가서 반장정도 쓰면 됩니다 근데 레포트 내는게 출석이니 무조건 수업때 가셔야 학점 및 출석 인정을 받아요
4,BMED424,의공학특강Ⅱ(영강),정아람,2019-2학기,전공선택,1,ymcdsay,5,5,1,1,5,4,"3번 빠지면 f, 매 시간 간단한 감상문 재출"
5,BMED424,의공학특강Ⅱ(영강),정아람,2019-2학기,전공선택,1,rkdw,5,5,1,1,4,5,"초청되신 의공학관련 분야의 명사들께서 세미나 형식으로 알려주시는 강의. 의공학 분야에 관심이 많다면 도움이 많이 된다. 학부생은 출석만으로 학점을 p/f로 주며, 매 강의마다 강의 내용을 정리한 보고서를 제출하는 것으로 출석을 확인한다."
6,BMED424,의공학특강Ⅱ(영강),정아람,2019-2학기,전공선택,1,보링,4,5,1,1,5,2,세번 이상만 안빠지면 돼서 널널합니다. 특강으로 진행되는 강의 듣고 a4 반절정도 레포트 바로 내면 그걸로 출석체크 합니다
7,BMED424,의공학특강Ⅱ(영강),정아람,2019-2학기,전공선택,1,안산동산고 4학년,4,5,3,1,4,4,"패논패. 현업에 계신 분들이나 실험적인 경험이 풍부하신 분들이 설명해주셔서
실제로 미래에 대하여 고민할 수 있는 좋은 강의."
8,BMED424,의공학특강Ⅱ(영강),정아람,2019-2학기,전공선택,1,태수,5,5,1,1,5,5,"의공학의 이해가 바의공 교수님들의 연구를 알아볼 수 있는 수업이라면,

의공학특강은 전국단위로 바의공 계열 교수님들을 만나 연구하는 것을 알아볼 수 있는 수업입니다.

개인적으로 의공학의 이해와 결을 같이 하는 수업이라고 생각합니다만,

하나만 고른다면 저는 의공학특강을 고를 것 같습니다.

수업 부담도 매우 적고 얻어가는 것도 많은 수업입니다."
9,BMED424,의공학특강Ⅱ(영강),정아람,2019-2학기,전공선택,1,amykim32,5,5,3,2,5,5,2번까지 빠질 수 있고 강연 이후 a4 반 페이지 정도의 에세이로 평가와 출석을 대신해요! 의공학의 다양한 분야에 종사하고 계신 분들의 연구 주제들을 들을 수 있어서 진로 고민하는 것에 도움이 많이 되었어요! 강연 자체도 매우 흥미로웠구요!!ㅎㅎ
