,과목코드,강의이름,교수이름,학기구분,이수구분,학점,사용자이름,총평,출석체크,난이도,학습량,학점,성취감,강의평
0,BNCS311,뇌및인지과학개론(영강),Christian,2019-2학기,전공필수,3,에프act폭격기,5,2,1,1,4,5,"뇌및인지과학융합전공 들으시는 분들은 꼭 들으세요.

출석은 처음에 한번 하시고 마지막 즈음부터 3번 매번 하시는데 이때 꼭 가셔야 합니다.(아마 이렇게 썼으니 교수님 귀에 들어간다면 또 랜덤으로 바뀔지도 모르겠네요) 한번 출석 할때마다 추가점수 2.5점씩 들어가는데 이게 마지막 최종 점수에서 A냐 A+이 되느냐를 가릅니다.

난이도는 쉽고 시험이 없기 때문에 학습량은 매우 적습니다. 시험 대신 시험기간 시작 직전 일요일 자정까지 제출하는 레포트가 두 번 있습니다. 각 레포트마다 무엇을 몇 단어씩 써야하는지 미리 다 알려주시니 이에 맞게 쓰시면 됩니다. 사실상 오픈북 서술형 시험이나 다름없습니다. 두 번 모두 내용과 영어 표현(문법 등)에 대해 점수를 매기시는데 중간 레포트에서는 내용만 실제 점수에 들어가고 표현에 대한 점수는 실제 점수에 들어가진 않고 기말 레포트에 반영할 수 있도록 점수만 알려주십니다. 참고자료는 마지막에 목록만 적는 것은 물론 각 인용한 부분 뒤에 괄호로 (저자, 발행년도, 페이지) 식으로 일일이 표시해줘야 합니다.

중간고사 기간의 레포트 주제는 brain imaging/modulation에 대한 레포트입니다. fMRI, EEG, TMS의 세 가지 기법 중에서 무엇을 써야할지 사람마다 하나씩 미리 골라주시는데 그것에 대해 쓰면 됩니다.

기말고사 기간의 레포트 주제는 수업시간에 다룬 감각 중에서 하나를 골라 이에 대해 씁니다. vision, audition, touch, olfaction의 네 가지 선택지가 있었고, 이번에는 중간 레포트와 다르게 본인이 원하는 감각을 택하면 됩니다.

팁을 드리자면, 수업시간에 나오는 내용을 외울 필요는 없지만 어쨌든 귀기울여 들으시길 권합니다. 레포트 작성 기간이 시험기간 중이라 각 주제가 뭔지 처음부터 읽는 것보다 미리 어느정도 알고 조사에 들어가는게 편하기 때문입니다. 그리고, 다들 아시겠지만 인터넷 자료를 인용하는 것보다 논문이나 서적을 인용하는게 훨씬 좋습니다. 이 수업에서 논문 찾는 법을 조금이나마 배운게 가장 큰 것 같네요.

학점은 잘 주시는 편입니다. 반영비율은 중간 레포트 30, 기말 레포트 60 (내용이 42, 표현이 18), 출석이 10(매 출석마다 2.5) 입니다. 모두 더하면 110인데 이번 학기 기준으로 A+은 100 이상에게 부여됐습니다. A는 85 이상에게 부여됐으니 A 받기는 매우 쉬운 반면 A+은 출석도 매번 하고 레포트도 최선을 다해 표현까지 완벽하게 써야 아쉬움이 없을 것입니다.

이하는 교수님의 final grade 이메일 일부입니다.

Dear student,
Your scores are as follows:

Midterm Contents(up to 40% of total grade): 35%
Final Contents(=up to 42% of total grade): 42.0%, Final Language(=up to 18%
of total grade): 18.0%
Attendance(=up to 10% bonus, each attendance 2.5%): 10.0%

Total Score: 105.0% = A+
(Score brackets: A+ >=100; A >=85; B+ >=75; B >=65; C+ >=55; C >=45)

뇌 및 인지과학의 기초적인 내용은 물론, 영어 레포트 쓰기, 논문 읽기, 자료 조사 등 많은 것을 배울 수 있어 성취감은 매우 높았습니다. 교수님의 말씀대로 ""레포트 쓰는게 짜증나겠지만 레포트를 쓰면 그 내용 하나씩은 다들 오랫동안 기억할거다.""가 맞더군요."
1,BNCS311,뇌및인지과학개론(영강),Christian,2019-2학기,전공필수,3,동그나비,5,2,1,1,5,5,"좋아요!
시험 같은 걸 보면 시험 치고 난 뒤 다 까먹는다는 교수님 교육철학으로
중간 기말 글쓰기 과제가 나옵니다.
덕분에 수업은 자유롭게 들을 수 있어요.
시험에 대한 부담이 없는 덕분에 더 재밌게 수업 들을 수 있었습니다.
출석체크는 한 학기 전체 통들어서 몇번만 하는데 그걸 채우면 아마 플러스 점수가 갈거에요.
그리고 글쓰기 과제는 내용과 언어능력에 대해 평가합니다.
정성들여 쓰면 좋은 점수가 나올 거에요
이 강의 추천합니다."
2,BNCS311,뇌및인지과학개론(영강),Christian,2019-2학기,전공필수,3,딩가딩가딩,5,1,4,1,5,3,"학점을 잘주시는것 같다. 교수님께서 매우 친절하신데 조금 바쁘신듯.
딴짓도 많이 했지만 수업을 재밌고 가볍게 들을 수 있는 몇 안되는 전공인 것 같다."
3,BNCS311,뇌및인지과학개론(영강),Christian,2019-2학기,전공필수,3,shkbis,4,2,1,1,5,1,"수업 하나도 안나가도 인터넷 검색하면서 에세이 두개쓰면 에이는 챙길 수 있는 과목입니다.. 대신 교수님이 영어 문법같은것도 이상하게 많이 보시니 영어가 많이 부족하면 비추입니다
출석은 전학기 세번 한거같은게 이걸 다빠지게 되면 에이쁠은 불가능합니다!"
4,BNCS311,뇌및인지과학개론(영강),Christian,2019-2학기,전공필수,3,SY12,4,2,4,2,4,3,"영어수업이다보니 수업듣기가 조금 어렵긴 했어요.. 중간기말 모두 레포트 대체다보니 큰 부담은 안됐는데 수업에서 얻어가는 거엔 한계가 있더라고요ㅠㅠ

출첵 딱 3번 하셨는데 이때만 잘 나오면 출석 가산점주셔서 학점 잘 받는 데 도움될 거에용"
5,BNCS311,뇌및인지과학개론(영강),Christian,2019-2학기,전공필수,3,dhejjd,5,2,1,1,5,3,출석체크 거의 안하시고 레포트만 잘 쓰면 점수 잘 주십니다
6,BNCS311,뇌및인지과학개론(영강),Christian,2019-2학기,전공필수,3,김정환,5,1,3,3,5,3,"쭉 영어로 이루지는 수업이라서 조금 내용 이해하는데 어려움은 있었어요.
그런데 시험을 안보고 중간고사 기말고사를 레포트로 대체하는 것은 정말 좋습니다.
저는 그 레포트를 작성하는 것부터 많이 힘들었지만..
뭔가 시험을 위한 공부보다 그냥 자발적으로 공부하게 되는 것 같습니다.
그리고 무엇보다 학점을.. 말도 안되게 잘 주세요.
저는 전혀 예상치 못한 높은 학점을 받았습니다.
그리고 교수님도 워낙 착하시고 강의력도 좋으십니다."
7,BNCS311,뇌및인지과학개론(영강),Christian,2019-2학기,전공필수,3,agnyte21,5,2,2,4,5,4,exams are at home essays. checked attendance maybe 3 times. overall not too hard but still interesting class.
8,BNCS311,뇌및인지과학개론(영강),Christian,2019-2학기,전공필수,3,고당도감귤,3,1,3,3,3,3,시험이 없는 터라 집중해서 강의를 듣기가 쉽지 않지만 강의 내용은 많습니다 재미있게 들을 수 있으면 좋은 강의라 생각합니다
9,BNCS311,뇌및인지과학개론(영강),Christian,2019-2학기,전공필수,3,A B C,5,1,3,1,4,5,"말이 필요할까요

한학기에 출석체크 3번하는데 이거 다 나오면 A+ 안나오면 A입니다

시험 없고 중간기말레포트도 어렵지 않고 부담 안됩니다

꼭 들으세요"
10,BNCS311,뇌및인지과학개론(영강),Christian,2019-2학기,전공필수,3,하회탈,5,1,3,1,5,5,"수업은 뇌과학, 그리고 인지과학의 전반을 다루는 내용입니다. 만약에 이 내용들을 전부 시험으로 봤다면.. 감당하기 힘들었을 겁니다. 하지만 Wallaven 교수님은 그런 식의 평가보다는 직접 학생들에게 어떤 주제를 주고 paper를 쓰게 하는 것으로 시험을 대체하십니다. 따라서 수업은 모든 것을 필기하기보다는 그냥 관심을 가지고 열심히 듣는 것으로 충분합니다.

교수님께서 paper의 구조를 짜서 제시해주시기 때문에 이에 맞추어서 충실히 작성하신다면 좋은 점수를 받으실 수 있고, 아마 본인에게도 매우 좋은 경험이 될 것이라고 생각합니다."
11,BNCS311,뇌및인지과학개론(영강),Christian,2019-2학기,전공필수,3,9797,5,2,2,1,4,3,일단 시험이 없고 중간기말 레폿으로 대체되는데 분량이랑 주제 거의 정해주세요. 평가는 내용적인 부분이랑 언어적인 부분을 나눠서 점수를 매기시고 총합해서 학점주십니다. 수업내용 전혀 상관없어서 갈수록 학생들이 적어지는데 가끔씩 출첵해서 보너스점수로 추가해주세요. 교수님 엄청 나이스하십니다!
12,BNCS311,뇌및인지과학개론(영강),Christian,2019-2학기,전공필수,3,보리건빵,4,2,3,2,4,3,"출석 체크를 안 하고, 시험도 없기 때문에 출석을 안 하게 되는 수업이었습니다. 그런데 명강이기 때문에 갈 때마다 많은 것을 배우고 오는 느낌이 듭니다. 출첵은 마지막 4 수업 정도에서 하시는데 언제 하실지 모르기 때문에 수업 막바지에는 웬만하면 출석하시는 게 좋습니다. 결석이라고 점수가 깎이는 게 아니라 출석하면 보너스입니다. 그런데 성적을 산출할 때 20점?10점? 단위로 절대평가를 하기 때문에, 출첵 한번에 2.5점인데 한번이라도 빠지면 2.5점을 못 받아서 출석했던 것들이 무의미하게 됩니다. 중간 과제는 뇌를 측정하는 기계 중 하나가 랜덤으로 배정되어 레포트를 쓰는 것이고, 기말 과제는 감각 중 하나를 본인이 선택하여 쓰면 됩니다. 중요한 포인트는 이해하지 못한 채로 논문을 베끼거나 말만 조금 바꾸면 교수님이 바로 알아채시기 때문에 100% 이해한 것에 대해서 본인의 말로 써야한다는 것입니다."
13,BNCS311,뇌및인지과학개론(영강),Christian,2019-2학기,전공필수,3,comtoo,3,2,1,1,4,3,"외국인 교수님이라 출첵을 거의 안했으나 그래서 안오는 사람들이 많아지자
막판에 두세번 출첵하셨는데 보너스포인트로 알고있음.
중간에세이는 문법은 점수 안들어가고 기말에세이는 문법+내용으로 점수들어감
시험을 안봐서 사실상 수업을 안들어도 영어로 잘쓰면 학점 잘나오는것가능.
맨날 출튀함..비쁠 ㅎ"
14,BNCS311,뇌및인지과학개론(영강),Christian,2019-2학기,전공필수,3,1164,5,3,2,3,5,4,일단 시험없이 에세이 대체라는게 매우 부담이 적었던 수업입니다 수업 내용도 매우 활용적인 내용 위주로 알려주세요 출첵도 학기중에 랜덤으로 3번 4번만 하셔서 부담은 없지만 모두 출첵하면 보너스 점수가 있기때문에 하시는 걸 추천합니다! 에세이가 구조가 어느정도 정해져있는데 양도 꽤 있고 쉬운내용만은 아니어서 주제에 관해 공부를 하면서 쓰는게 좋아요 교수님이 요구하신 조건에 만족해서 열심히 쓰기만 해도 비쁠 에이는 무조건 받을 수 있습니다!
15,BNCS311,뇌및인지과학개론(영강),Christian,2019-2학기,전공필수,3,syk991116,4,1,3,3,4,4,"시험이 없는 것이 가장 큰 장점입니다. 과제가 쉽지는 않지만, 영어로 에세이 쓰는 경험은 필수적이고 중요하다고 생각합니다. 그리고 학점을 그렇게 짜게 주시는 편이 아니라서 유익하고 도움되는 과제라고 생각합니다. 출석체크는 학기 끝나갈 쯤 연달아 했습니다! 학기 초중반에는 출석체크 하지 않습니다."
16,BNCS311,뇌및인지과학개론(영강),Christian,2019-2학기,전공필수,3,뿌셔,5,3,3,3,5,5,"뇌과학에 관심있는 분들 들으시면 좋아요
핵교 실험의 과학 들었다가 교수님 수업이나 그 외의 모든 것들이 좋았어서
뇌인지융전은 안하지만 듣고 싶어서 들었어요
강의는 뇌과학에 대해서 전반적으로 다루고
중간기말 시험은 레포트로 대체되어서 뇌이미징 기술이랑 감각에 대한 걸 적는데 어느정도 전문적인 내용을 원하시는 것 같아요
출석체크는 후반부에 많이 하셨습니다
외국인 교수님이 하시는 영강이라 외국인 학생분들도 많았는데 질문 되게 많이 하셔서 덕분에 수업 재밌게 들었습니다
꿀강+명강이에요!"
17,BNCS311,뇌및인지과학개론(영강),Christian,2019-2학기,전공필수,3,풋릇풋릇,5,2,2,3,5,4,뇌 과학 입문 답게 쉽고 재미있게 수업을 해주십니다. 독일인 교수님이시다보니 영어로만 모든 수업 진행하십니다. 평가를 레포트로 대체하는데 피드백도 꼼꼼하시고 점수도 후하게 주셔서 행복한 수업이 될 수 있을 것입니다. 출첵은 보너스인데 보너스 점수가 생각보다 커서( 절대평가!) 재밌는 수업 꼬박 꼬박 나와서 들으면 좋을것 같아요.
