,과목코드,강의이름,교수이름,학기구분,이수구분,학점,사용자이름,총평,출석체크,난이도,학습량,학점,성취감,강의평
0,BSMS306,생리활성물질,조경애,2019-2학기,전공선택,3,OguOgu,5,5,3,3,4,5,출석은 매일 하지만 수업 내용과 시험 공부량이 적당했어요. 수업 중에 혼자서 논문을 요약하는 발표가 있기는 하지만 팀플은 아니라서 부담은 없습니다.
1,BSMS306,생리활성물질,조경애,2019-2학기,전공선택,3,애증이,5,5,2,3,5,4,"발표가 있어 수업듣는것에 부담을 느낄 수 있으나, 교수님이 많은 도움을 주시고 이후 랩실이나 연구직을 맡게 된다면 사전에 연습을 해본다는 느낌으로 준비하면 성취감이있다. 또한 식품과 의과학 사이의 그 어딘가에 대한 수업이라 의과학쪽 지식이 많이 필요하다. 그러나 이또한 교수님이 잘 풀어서 설명해주시므로 걱정을 할 필요성은 없는것같다. 본인이 수업을 들을때 수강생이 20명 이하라 절대평가였으며 성적도 잘 받았다."
2,BSMS306,생리활성물질,조경애,2019-2학기,전공선택,3,김프로,5,5,2,1,4,4,"교수님 정말 학생들을 많이 챙겨주시고 이름도 다 외워주시고
여러모로 도움 주려고 하시는 친절한 교수님이십니다ㅎㅎ"
3,BSMS306,생리활성물질,조경애,2019-2학기,전공선택,3,삐뿌삐뿌,5,5,5,2,5,4,"수업내용자체는 양도 많고 어려움
교수님이 처음 강의하시는분인데 너무스윗
시험기간에 수업한분량 10분의1로 시험범위줄여주셔서 시험공부라ㅡㅇ의 적은편이고,
전반적인 논문보는법 등도 배울수있어서 진짜 도움많이되는거같다"
4,BSMS306,생리활성물질,조경애,2019-2학기,전공선택,3,에에에에에,5,5,3,2,4,5,"중간, 기말, 논문 분석 후 발표로 구성되어 있는 수업이었습니다. 매 수업마다 한 주제를 나가시고 관련논문에 대해서 설명해주시는 방식으로 진행되었습니다. 타과학생이라서 어려울 것이라고 생각했는데 수업도 난도가 높지 않았고 중간 기말 전에 출제하실 문제에 대한 부분을 다시 언급해주시는 시간이 있어서 시험준비에도 어려움이 크지 않았습니다. 추천드려요"
5,BSMS306,생리활성물질,조경애,2019-2학기,전공선택,3,caddfksdf,5,5,3,3,4,5,"교수님이 학생 한명 한명 얼굴 외울 정도로 애정을 가지고 수업을 진행하시고,
수업은 ppt를 기반으로 진행됩니다. 중간&기말고사 직전에 요약해주시는데 수업베이스 + 요약하면
쉽게 성적 받을 수 있을겁니다. ppt 개인 발표과제가 하나 있었는데, 발표하는것에 의의를 두시는듯 합니다."
6,BSMS306,생리활성물질,조경애,2019-2학기,전공선택,3,woooong,5,5,2,4,5,5,새로 오신 교수님(강사님?)이 강의를 맡게되면서 수강인원 대다수가 빠져나가고 15명?정도만 남음. 출석책크는 항상했지만 나중에는 교수님이 학생 이름을 다 외우셔서 결석한 사람만 확인하고 수업했어요. 시험범위는 넓지만 시험전에 많이 추려줘서 할만 했어요.
7,BSMS202,의생명과학실험II(영강) 바이오시스템의과학부 대상강좌,이하나,2019-2학기,전공선택,3,얄라리,5,5,2,2,5,4,어려운거 없이 학점 받기 쉬운 실험 과목
8,BSMS202,의생명과학실험II(영강) 바이오시스템의과학부 대상강좌,이하나,2019-2학기,전공선택,3,할리스,5,5,1,3,4,3,"미생물의 isolation부터해서 한 학기동안 한 가지 미생물을 가지고 실험을 하게 됩니다.
흥미로운 실험들도 있었구요(ex. 수질 검사)
레포트는 주로 디스커션 위주로 보십니다. 출처를 제대로 밝히는 것을 좋아하세요."
9,BSMS202,의생명과학실험II(영강) 바이오시스템의과학부 대상강좌,이하나,2019-2학기,전공선택,3,리얼브라우니믹스76,4,5,3,3,4,4,"세균학 랩실에서 할만한 기본적인 실험들을 합니다.
출석은 항상하고 퀴즈도 쉽고 성적도 잘 주십니다."
10,BSMS202,의생명과학실험II(영강) 바이오시스템의과학부 대상강좌,이하나,2019-2학기,전공선택,3,KHY,5,5,3,2,5,3,"레폿 3번, 중간퀴즈, 기말퀴즈, 출석으로 성적을 산출하셨고,
성적 엄청 잘 주세요!!
추천합니다!"
