,과목코드,강의이름,교수이름,학기구분,이수구분,학점,사용자이름,총평,출석체크,난이도,학습량,학점,성취감,강의평
0,CCST301,기후변화과학,조천호,2019-2학기,전공필수,3,Seung jun,5,5,3,4,4,5,"이번학기에 가장 많이 배웠던 수업입니다. 기후변화에 대한 관점을 IPCC보고서를 근거하여 교수님만의 스토리를 만들어서 설명해주십니다. 다만 피피티에 설명이 없기 때문에 수업에 필기를 해두시는게 좋을꺼 같습니다. 단순 암기보다는 스스로 생각하고 표현하는 능력을 기를 수 있었던 시간이었습니다.

시험은 기말만 치루게 되는데 양이 적은 편은 아니지만 수업시간에 집중하셨다면 공부하기 수월할 것입니다.

중간고사는 '지구한계의 경계에서'라는 책의 독후감으로 대체하였습니다.

내년에도 조천호 교수님이 수업하셨으면 좋을텐데 아마 다른 교수님께서 수업하실듯 합니다."
1,CCST401,기후변화경제학,김옥현,2019-1학기,전공필수,3,망고링고,4,1,3,3,4,3,교수님의 책을 구매해야 하고 그걸로 한학기 수업이 진행됩니다. 그냥 수업 중에 교수님이 이거 중요한거다 라고 한거 다 표시하면 될거 같아요. 오픈북이라 교수님의 강의 정리한거랑 책 이렇게만 있어도 될거 같아요! 저는 열심히 안 했지만 비쁠을 받아서 나름 잘 주신다고 생각해요. 교수님은 나쁘지 않은데 성취감이 없다고 해야하나.. 책 위주로만 수업이 진행되어서 그런거 같아요
2,CCST401,기후변화경제학,김옥현,2019-1학기,전공필수,3,StellaPolare,2,1,2,2,2,2,수업에 집중이 잘 안됐어요. 출첵은 아예 안해요.
3,CCST401,기후변화경제학,김옥현,2019-1학기,전공필수,3,이디오테잎,4,1,3,3,4,4,기후변화에서 권위가 있으신 교수님께서 본인 저서로 수업을 나가십니다. 기후변화에 대한 입문으로 추천드립니다. (사회학적인 측면으로 다룹니다)
4,CCST401,기후변화경제학,김옥현,2019-1학기,전공필수,3,sy1639,2,1,1,2,2,1,"여러모로 당황스러웠던 수업. 교수님이 쓰신 책으로 수업하는데, 말그대로 책을 소리내어 읽는다. 한명씩 돌아가면서 책을 읽음ㅋㅋㅋ 배운것은 별로 없는듯 하고, 교수님 자체도 아시는게 별로 없는듯하다. 그리고 시험은 오픈북이나 평가기준도 명확하지 않고 글씨체/글자수를 중요히 여기는것 같았는데, '줄 수'를 제시하는게 아니라 '글자수'를 제시하셔서 시험쓰면서 글자 하나씩 세라는말인가? 했음. 수업 중에는 학생들에게 랜덤으로 질문을 하시는데, 그게 은근 알게모르게 기빨린다. 전반적으로 전필이 아니었다면 안들었을듯."
5,CCST401,기후변화경제학,김옥현,2019-1학기,전공필수,3,bakerson,3,1,2,2,2,3,"학점 평가 방식이나 시험 평가 방식이 이해가 안감. 수업은 책으로 진행되는데 주먹구구식의 느낌을 받았고, 중간고사 때에도 교수님이 글씨 못써서 감점했다는 둥 평가 방식이 이해가 안갔음. 학점도 그러려니 했는데 자기 자신만의 기준이 낮지가 않아서 학점도 잘 안나옴. 글자 수 제한이 있었는데 시험 때엔 줄 수로 제한한다는 등 그냥 이해가 안감. 학점 이렇게 줄 꺼면 미리 진작에 항의했었어야 하는데 그런 부분이 조금 아쉬움."
6,CCST301,기후변화과학,조천호,2018-2학기,전공필수,3,lhb0913,3,1,3,3,4,3,"중간고사는 배운거 토대로 문제를 직접 만들어서 푸는 문제가 하나있었구요
나머지는 평이한 문제로 서술형이었습니다
기말고사도 비슷한 형식이었는데 문제를 만드는 형태는 없어졌더라구요
출첵은 안하지만 매 수업마다 질문해야 점수를 받아서 이걸로 출첵을 대신하시나? 싶었습니다.
오픈북인데 필기만 해서 되는게 아니라 확실히 개념을 이해하고 있어야 하고
시간이 1시간 정도 주어지는데 생각보다 짧게 흘러가서 공부 많이 하셔야 할것같아요"
7,CCST301,기후변화과학,조천호,2018-2학기,전공필수,3,아우아우아,5,5,2,2,5,5,"IPCC 보고서 기반으로 수업하시고 매 수업 질문을 준비해가야 합니다. 별로 부담은 없고 출석을 대체해서 간단한 질문 하나씩 준비해가면 됩니다.
수업은 보고서 기반으로 하다 보니 별로 어렵지 않고 오픈북이어서 외우는 부담도 없었습니다.
IPCC보고서에 대해 공부하고 싶으시면 이 수업 들으면 좋을 것 같습니다."
8,CCST301,기후변화과학,조천호,2018-2학기,전공필수,3,바로바로,5,4,3,3,5,4,"새로운 교수님이시라 걱정 많이 했고 수업 스타일이 좀 특이하셔서 그점은 조금 힘들었지만 결과적으로는 좋았습니다.
출석체크를 기후변화나 수업내용 관련 질문을 하는 형식으로 이루어지는데 다음에 하겠다며 넘어가도 괜찮고, 다행히 매 수업 하나씩은 궁금한 게 생겨서 열심히 하곤 했습니다. 처음에 또 선착순이라고, 빨리 안 하면 출첵 못하는 거라고 겁주셔서 그것도 스트레스 받았는데 질문 한 분들 빼고 안 한 사람들 불러서 질문 없냐고 물어봐주셔서 다행이었어요.
수업 내용은 IPCC 보고서 내용을 배웁니다. 교수님이 설명은 좀 정신없이 하시는 편이지만 나름 재밌고 유익도 하고 많이 배웠어요.
과제는 서평 하나, 레포트 하나 썼고 시험은 오픈북으로 봤습니다. 그래서 PPT에 내용 정리만 잘 해놓고 잘 찾아 쓰면 돼요.
문제도 그렇게 어렵지 않은데 그래프 보고 문제를 스스로 만들어서 거기 답하라는 형식도 나와서 좀 당황스럽지만 할만해요."
9,CCST301,기후변화과학,조천호,2018-2학기,전공필수,3,15비행단,4,2,4,2,3,5,"기후변화과학에 대해서 배우는 과목이다.
매주 다른 주제에 대해서 공부하며
지구과학, 대기과학 등 관련 background가 있으면 듣기 편하다.
중간, 기말 5문제정도씩 나오는데 다 맞아야 하므로(상평임) 상당히 꼼꼼한 공부가 필요하다.
오픈북이다.
시험장에 갖고 갈 프린트는 꼭 고화질 칼라로 갖고 가세요."
