,과목코드,강의이름,교수이름,학기구분,이수구분,학점,사용자이름,총평,출석체크,난이도,학습량,학점,성취감,강의평
0,CHBE210,유체역학(영강),봉기완,2019-2학기,전공필수,3,싱긴,5,5,3,3,4,4,정말 성심성의를 다해서 가르쳐주십니다. 헷갈리거나 모르는 부분은 주로 쉬는시간이나 따로 찾아가 질문했고 이해될때까지 가르쳐주셨습니다. 시험문제의 경우 과제나 교재에 있는 문제들을 풀 줄 알면 좋은 점수 얻을 수 있을 것입니다.
1,CHBE210,유체역학(영강),봉기완,2019-2학기,전공필수,3,전당포귀신과쓰레기통,4,5,3,3,3,3,"유체역학 원래의 내용은 정말 어려운데 킹기완 교수님께서 꼭꼭 씹어서 입에 넣어 주십니다. 그래서

수업 잘 듣고 강의때 필기한거 잘 공부하시면 됩니다. 문제는 이 강의때 한 필기를 완전히 다 외워서

시험에 들어가야 잘 보실 수 있습니다. ㅠㅠ 총 6문제중 기출 4문제에 새로운 유형 2문제 나오는데

기출 4문제를 외워서 들어가야 새로운 유형 문제 풀 시간이 있습니다."
2,CHBE210,유체역학(영강),봉기완,2019-2학기,전공필수,3,보건실,4,5,4,3,4,2,믿고 듣는 봉기완 교수님 강의. 영어 강의라도 발음을 알아듣기 쉽고 일목요연하게 강의하심.
3,CHBE210,유체역학(영강),봉기완,2019-2학기,전공필수,3,youngdon2,5,5,3,2,5,4,재미있게 잘 가르쳐 주시는 편입니다. 이해하기 어려운 개념들이 많은데 설명을 잘 해주셔서 그나마 편하게 공부할 수 있었습니다.
4,CHBE210,유체역학(영강),봉기완,2019-2학기,전공필수,3,하늘색,5,5,4,4,4,4,"수업시간 배울때는 쉬운 것 같은데 문제 풀면 멘붕입니다..
그래도 교수님이 너무 친절하게 설명해주셔요
조교님도 정말 친절하시고, 점수도 후하게 주십니다."
5,CHBE210,유체역학(영강),봉기완,2019-2학기,전공필수,3,유쾌한항정,5,5,3,3,4,5,"화공 최고 젠틀맨 봉기완 교수님
질문도 매번 친절하게 가능한 한 상세히 알려주시고 학생을 위하는 마음이 엄청나신 분입니당
시험은 과제에서 많이 나오고 출석은 매일 해요"
6,CHBE210,유체역학(영강),봉기완,2019-2학기,전공필수,3,짜몽쩨,5,5,4,3,4,4,유체역학이라는 학문 자체가 쉬운 내용이 아니고 쓰시는 책은 한글판도 없는 약간 듣보라 슬쩍 보고 개쫄았는데 교수님께서 영강이신데도 설명을 너무 잘해주셔서 무사히 넘긴 것 같습니다 질문에 항상 친절하게 답변해주시고 학생을 존중해주세요 학점도 잘주시고 기출이랑 시험이 많이 비슷합니다 그런데 시험시간이 왕창 모자라요
7,CHBE210,유체역학(영강),봉기완,2019-2학기,전공필수,3,abcbe,5,5,3,3,5,4,유체역학 처음에 배울 때는 뭐가 뭔지 모르겠고 개념 이해도 뭐가 뭔지 모르겠지만 교수님이 알려주신 문제만 풀다보면 아하..! 그냥 하란대로만 하면 되구나 라는 걸 깨닫습니다. 문제부터 봐 보는 것도 나쁘지 않을 것 같습니다.
8,CHBE210,유체역학(영강),봉기완,2019-2학기,전공필수,3,교쿄교쿄,4,5,5,5,4,4,최고의 난이도에 최고의 학습량이지만 교수님이 열정적으로 가르쳐주시고 쉬운 부분만 알려주셔서 참고 들을만은 했지만 과목자체가 너무 헬.... 봉교수님 귀요미♡
9,CHBE210,유체역학(영강),봉기완,2019-2학기,전공필수,3,질겅일,5,4,5,5,5,4,교수님이 판서해주신 내용을 정확히 받아적고 그날그날 복습만 잘해주고 과제랑 practice problem을 완전히 숙달하고 시험장 가면 시험점수 잘 받을 수 있어용
10,CHBE210,유체역학(영강),봉기완,2019-2학기,전공필수,3,시체,5,5,3,3,4,3,내용 자체가 어렵지만 문제는 쉽게 나옵니다. 과제랑 연습문제 풀이만 잘 하셔도 시험 괜찮게 볼 가능성 높다고 생각합니다.
11,CHBE210,유체역학(영강),봉기완,2019-2학기,전공필수,3,1washere,4,5,4,4,4,3,세세하게 잘 설명 해주심. 하지만 내용 자체가 어려움
