,과목코드,강의이름,교수이름,학기구분,이수구분,학점,사용자이름,총평,출석체크,난이도,학습량,학점,성취감,강의평
0,CHEM214,유기화학실험,강서현,2019-2학기,전공필수,2,Qsub,5,5,3,3,2,5,실험은 다 똑같지만 조교님이 친절하시고 점수기준에 대해 잘 설명해 주십니다. 저는 좋았어요! 비록 학점은 B지만!
1,CHEM455,유기합성화학,천철홍,2019-2학기,전공선택,3,smile55555,5,4,5,5,4,5,"다들 어렵다하여 적은 수강생으로 수업을 진행을 하였습니다.
그럼에도 불구하고 교수님은 잘 가르쳐 주시고, 배울 내용도 많습니다.
유기화학에 관심있는 사람은 들어보기를 추천합니다."
2,CHEM455,유기합성화학,천철홍,2019-2학기,전공선택,3,OCW,5,3,4,4,4,4,"수업:주3일 수업하시고 강의력이 좋으시다. 또 여러 유용한 지식들을 말씀해주신다. 유이한 단점은 뒤로 갈수록 각 p슬라이드의 내용 밀도는 높아지고 물질은 복잡해지고 처음보는 시약/반응이 많이 나오는데 수업 속도는 일정하시거나 시험일정 때문에 살짝 빨라진다는 것, 그리고 수업 시간 5~10분 초과는 기본이라는 것이다. 그러므로 다음 수업 연강을 문캠에서 하지 않는 것을 추천.
과목 특성상 수업만 들어서는 부족하고 시험공부할겸 혼자 복습하고 연습해보는 것이 중요하다

책: 불필요

출석: 안하시지만 얼굴 다 외우셔요

시험: 기본적으로 원리 이해하신 다음에는 ppt에 있는 반응과 물질들 그냥 외우는게 좋습니다. 교수님은 그렇게 하지 말라고 하시지만 유기적인 눈이 매우 발달 되지 않으셨다면 시험때 보기 힘들어요(특히 기말). 시험문제는 대부분 본 교재(=ppt)에서 내시지만 2차 때는 다른 교재(대학원 합성 교재로 추정)에서도 몇개 나왔으며 교수님 말씀과 주신 기출에 의하면 이전에 열렸을 때는 전부 그쪽에서 나온 경우도 있었습니다.

학점: 잘 주십니다

ps 꼭 4차 시험 보자고 하세요. 3차로 보면 너무 힘들어요"
3,CHEM455,유기합성화학,천철홍,2019-2학기,전공선택,3,들을게 없어,5,3,4,5,4,5,"유기 고인물들의 천하제일 유기합성대회..
배우는것도 정말 많고 성취감도 높고 교수님의 열정도 존경할만하다.
다만....그열정과...공부량이.... 정말.... 심하게.... 많을뿐......

시험 3차로 잡으면 범위 말도 안되게 넓어서 죽어요 꼭 4차로 보세요"
4,CHEM154,일반화학실험Ⅱ 화학('19학번 214~226),김우성,2019-2학기,교양,1,sjunh,5,5,3,3,4,4,모르는 것에 대해 자세히 알려주시고 수업 준비도 꼼꼼히 하셔서 배워가는게 많은 수업이었습니다.
5,CHEM154,일반화학실험Ⅱ 화학('19학번 227~241),전민기,2019-2학기,교양,1,cnsqo,5,5,5,5,5,5,친절하시고 말이 많습니다 학점을 잘 주십니다
6,CHEM154,일반화학실험Ⅱ 화공생명('19학번 066~끝),김형종,2019-2학기,교양,1,caesar0112,5,5,3,3,4,4,학점도 잘주시는 편이고 실험도 빨리 끝내주신다
7,CHEM154,일반화학실험Ⅱ 화공생명('19학번 066~끝),김형종,2019-2학기,교양,1,lolo,5,5,3,3,4,5,실험 전에 이론 열심히 설명해주시고 보고서 calculation은 다 알려주세요 conclusion을 좀 빡세게 보시는 경향이 있지만 형식 맞게 잘 쓰면 점수 잘 주세요
8,CHEM154,일반화학실험Ⅱ 신소재('19학번 101~114),최진주,2019-2학기,교양,1,jaxgosu,5,5,3,4,4,4,질문도 잘 받아주시고 항상 친절하게 잘 알려주세요. 그리고 반장을 하면 학점은 거의 무조건 A에서 A쁠 받는다고 생각하시면 돼요. 너무 인품 좋으신 분입니다!
9,CHEM154,일반화학실험Ⅱ 신소재('19학번 101~114),최진주,2019-2학기,교양,1,우언,5,5,4,4,3,4,"실험 전에 저번 실험에 대한 복습과 이번 실험 예습의 퀴즈를 본다.
예습을 철처히 하지 않으면 틀리기 쉬워서 열심히 공부해야한다.
실험보고서는 유효숫자 철저히 보셔서 꼼꼼하게 계산해야한다.
모르는거 질문하면 친절하게 알려주시고 너무 좋은 분이시다."
10,CHEM155,일반화학실험 건축사회환경('19학번 329~346),김형석,2019-2학기,교양,1,쿠쿠루쿠쿠,5,5,3,2,5,2,실험 과목이기 때문에 실험하고 보고서 쓰는 건 똑같음. 다만 조교님이 친절하셔서 즐거운 분위기에서 수업 들을 수 있었음.
11,CHEM155,일반화학실험 건축사회환경('19학번 329~346),김형석,2019-2학기,교양,1,seo3428,5,4,2,4,5,4,"1. 출석체크
출석체크를 매일 정시에 합니다. 하지만, 많이 늦지 않으면 어느정도 봐주시는 것 같습니다.

2. 난이도
실험 자체의 난이도는 그렇게 어렵지 않습니다. 교수님께서 저희가 하기엔 힘들다 싶으시면 많은 도움을 주시니 걱정 마시고 하셔도 됩니다. 다만, 실험이 끝난 후의 보고서는 생각보다 쉽지 않습니다. 그래서 매우 쉽기 보다는 조금 쉬운 거 같습니다.

3. 학습량
실험이 시작하기 전에 실험 예비 보고서를 자필로 작성해야 합니다.(반드시 자필) 또한, 예비 보고서를 쓸 때에 참고하는 ppt자료가 있는데, 그 자료의 이론적 배경을 공부해 와야 합니다. 실험 수업 시작하기 전에 출석 체크하고 간단한 퀴즈를 봅니다. 매일 보지는 않지만 거의 대부분 봅니다. 실험이 끝나고 그 다음주 실험 수업 전전날 정도까지 보고서를 제출해야 합니다. 보고서는 생각보다 쉽지는 않습니다. 교수님께서 처음 보고서를 쓰고 이러한 방식으로 쓰라고 알려주시긴 하는데도 생각보다 쉽지 않습니다. 그냥 본인이 이 실험에 대해 많은 자료들을 찾고 공부를 많이 했다는 것을 보여드리기만 하면 될 거 같습니다.

4. 학점
학점은 매우 잘 주십니다. 퀴즈 내용도 30분에서 1시간 정도만 공부한다면 좋은 점수를 맞을 수 있고, 기본적으로 주시는 점수가 많기 때문에 좋은 학점을 주십니다. 출결이 부족하지 않은 이상 B0이상은 받을 수 있다고 생각합니다.

5. 성취감
실험 결과 보고서를 쓰는 방식을 배우기 때문에 매우 유익하다고 생각합니다. 또한, 화학 실험은 재미있는 요소가 많기 때문에 지루하지는 않습니다만 보고서 쓰는 것이 힘들 수 있습니다."
12,CHEM155,일반화학실험 건축사회환경('19학번 365~382),송운영,2019-2학기,교양,1,메나,5,1,2,3,4,3,"재밌고 교수님 착하세요
근데 수업 전 퀴즈는 좀 까다롭게 서술형으로 나오니까 그날 실험 자료랑 예비 보고서 꼼꼼히 공부해가셔야 합니다"
13,CHEM155,일반화학실험 건축사회환경('19학번 365~382),송운영,2019-2학기,교양,1,dkdndd,4,4,2,2,4,3,"조교님도 착하신데 과목 자체가 시간이 많이 들어요ㅜㅜ 그리고 수업 시작 퀴즈를 보는데 다른 곳과는 달리 서술형으로 봅니다,"
14,CHEM452,계산화학,곽경원,2019-2학기,전공선택,3,허버굿니,4,5,4,3,4,3,"내용은 양자화학 연장선입니다. 양자화학책 뒷부분에 계산내용을 조금 다루기도 하죠 근데 이론적인 부분을 엄청 중요시하시지는 않아서,, 프린트나오는 내용만 숙지하셔도 충분합니다. 일단 공부량 대비 학점이 잘나와서 좋네요 다른 전공보다 훨 수월합니다."
15,CHEM452,계산화학,곽경원,2019-2학기,전공선택,3,뀨뀨류뀨뀨,4,5,5,5,3,4,내용이 굉장히 어렵습니다. 양자화학 2라고 생각하셔도 무방합니다. 특히나 팀플과제가 있는데 무척이나 빡셉니다. 어디에서 문제가 나올지 종잡기 어렵기도 하면서 내용도 난이도가 높기에 주의하셔야 합니다. 물리화학과 양자화학을 제대로 듣지 않았다면 낙담하시기 쉽습니다.
