,과목코드,강의이름,교수이름,학기구분,이수구분,학점,사용자이름,총평,출석체크,난이도,학습량,학점,성취감,강의평
0,CHIN206,중급중국어강독II 중문과는 2학년만 수강,신경미,2019-2학기,전공선택,3,yubin,4,1,3,1,1,1,좋습니다 ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ
1,CHIN206,중급중국어강독II 중문과는 2학년만 수강,신경미,2019-2학기,전공선택,3,LOLP,4,5,4,5,4,5,힘들지만 열심히 따라가다보면 남는건 많은 수업
2,CHIN206,중급중국어강독II 중문과는 2학년만 수강,신경미,2019-2학기,전공선택,3,잣돼지,5,5,3,5,5,5,굉장히 좋은 강의입니다. 교수님이 무엇보다 좋으신 분이고 학업 외적으로도 많은걸 배워갈 수 있어요.
3,CHIN206,중급중국어강독II 중문과는 2학년만 수강,신경미,2019-2학기,전공선택,3,시사pt5,5,5,4,5,4,5,수업량이 많고 내용이 다소 어렵기는 하지만 그만큼 교수님이 너무 좋으시고 성취감도 높은 수업이었습니다
4,CHIN206,중급중국어강독II 중문과는 2학년만 수강,신경미,2019-2학기,전공선택,3,쿨럭쿨럭,5,5,5,5,2,4,교수님이 너무 열정적이시고 학생들 이름 한명한명 외워주시는데 너무 감동이었음... 대학교에 이런 교수님도 있구나를 느끼게 해주신... 시험 같은 것도 나름 학생들 편의 봐주시고 그러신데 친절하시다고 막 풀어주시진 않으심. 그리고 한명한명 중간 이후 피드백 받은 것도 매우 인상적이었음. 출첵도 처음에만 이름 부르시고 그 다음부탸는 얼굴 보면서 외운이름으로 교수님이 알아서 출첵하심. 본인이 공부를별로 못해서 학점은 그저 그렇게 나왔지만 성실히 출석할 자신있고 외우는 거 자신있다면 이런 교수님의 열정적인 강의도 한번쯤 들어보는 것 추천 :)
5,CHIN206,중급중국어강독II 중문과는 2학년만 수강,신경미,2019-2학기,전공선택,3,쩐빵,5,5,3,4,4,5,"중문과라면 신경미 교수님의 수업을 꼭 한번쯤은 들어봐야 한다고 생각합니다. 교수님의 수업 진행 능력도 능력이지만, 정말 좋은 말씀들을 많이 해주시고, 학생들을 진심으로 아껴주시는 분입니다. 1학년 때 들었던 교수님 전공중국어 수업의 시험난이도에 비해, 중급중국어강독 수업의 출제 방식은 정말 본문과 수업 내용을 성실히 잘 외우기만 하면 잘 할수 있는 수업이라 그 부분에서도 저는 한 만큼 나온 것 같습니다. 여튼 정말 추천드리고 싶은 수업입니다!"
6,CHIN206,중급중국어강독II 중문과는 2학년만 수강,신경미,2019-2학기,전공선택,3,KDJDJ,4,5,5,4,3,5,"교수님이 여러분의 얼굴을 다 기억하셔서 일단 출석은 무조건 하시구, 학습량은 많다고 할수는 없지만 그래도 미리 예습을 안하시면 꽤 어려우실것 같아요!! 그래도 교수님은 진짜 최고...엄청 잘 챙겨주시고 강의가 끝나면 성취감은 진짜 많은 것 같아요!!!"
7,CHIN206,중급중국어강독II 중문과는 2학년만 수강,신경미,2019-2학기,전공선택,3,4점대씹가능,5,5,5,5,5,5,"신경미 교수님 최고입니다
진짜 많이 배웠습니다! 중문과라면 꼭 들어야할 수업"
8,CHIN206,중급중국어강독II 중문과는 2학년만 수강,신경미,2019-2학기,전공선택,3,meinesonne,5,5,3,4,4,5,중문과 최고 존엄 신경미 선생님의 수업이면 그냥 듣는게 좋다.
9,CHIN206,중급중국어강독II 중문과는 2학년만 수강,신경미,2019-2학기,전공선택,3,makgeoli,5,5,5,4,4,5,"신경미 교수님은 정말 최고입니다. 중국어 독해, 문법은 물론 문과생, 어문계열로서 가질 수 있는 고민거리들에 대해 생각해볼 수 있게 도와주십니다. 교수님이 이번에 중중강을 처음 맡으시는 거라고 들었는데, 역시는 역시답게 중중강1보다 훨씬 만족스럽게 들을 수 있었습니다. 그러나 솔직히 중문과 전공 특성상 배우고 나서 남는 건 중국어 단어 실력 증가, 독해 능력 향상 정도입니다. 그래도 중문과 전공 중에서는 추천드리고싶은 전공입니다. 1. 출첵: 전중 때처럼 학생들 이름을 다 외우시고, 따로 출석을 부르시지 않고 기억해두신 얼굴로 스스로 출첵을 하십니다. 2. 수업 방식: 책 내용이 많기에 모든 내용을 나가지는 않고 5강 정도 나갔습니다. 그 중 2강 정도는 단어만 공부했습니다. 한 강당 진행방식은 먼저 단어를 다 훑고(교수님이 만드신 ppt를 인쇄해와야함) 관련 문형을 학습합니다. 이후 독해를 진행하는데, 교수님의 해석을 ppt로 띄워주시기에 따라 적어놓으면 시험 준비에 도움이 될 것입니다. 따로 팀플이 없기에 팀플을 싫어하시는 분들, 독강러분들에게 추천드립니다. 그러나 매 수업마다 순서대로 문장 중작/해석을 시키시기에 예습은 필수입니다. 3. 시험: 배우는 것도 많지만 시험도 그만큼 어려운 수업이 신경미 교수님 수업입니다. <나올 것 같은 문제, 안 나왔으면 좋겠는 문제에서 모든 걸 출제하십니다. 시험은 우선 어려운 단어 작성+문장 중작(책 문형, 본문에서)+문단을 주고 내가 교수님이라면 어떻게 가르칠 것인가?>로 구성되어 있습니다.+)공부법: 저는 어렵게 내실 걸 알고 있었기에.. 정말 꼼꼼하게 공부했습니다. 수업시간에 따로 해석 필기를 하지 않고, 공부할 때 다시 스스로 한국어 번역을 해보고, 그 번역을 토대로 다시 중작하는 연습을 끊임없이 반복했습니다. 또 중작을 한 후 한 문장 안에 들어 있는 문법을 파악하고, 나라면 어떻게 가르칠까?에 대해 많은 고민을 해보았던 것 같습니다. 4. 성적: 출석을 잘 하고, 수업 시간에 열심히 참여하고, 시험을 잘 보시면(제일 중요) 좋은 성적을 받으실 수 있을 것입니다. 교수님은 정말 원래 중국어 잘 하는 사람이 아니라, 열심히 공부한 사람에게 좋은 성적이 돌아갈 수 있게 해주시는 분입니다. 그렇기에 좋은 성적을 받으면 뿌듯함이 더 큰 수업이죠!"
