,과목코드,강의이름,교수이름,학기구분,이수구분,학점,사용자이름,총평,출석체크,난이도,학습량,학점,성취감,강의평
0,COLA200,"인문융합세미나 (문과대 1소속자만 수강가능,이중/복수/부전공수강불가,문과대 홈페이지공지 필수확인)","이형대,강제훈남호현,이민주",2019-2학기,전공선택,3,Momantie,5,4,1,2,4,4,문대 학생이시라면 졸업하시기 전에 한번쯤은 인문융합세미나 들으시길 진심으로 추천드립니다. 수업마다 설계가 모두 달라서 구체적인 설명은 못드리겠지만 인문융합세미나 수업 자체가 전반적으로 퀄리티도 좋고 지원도 좋습니다.
1,COLA200,"인문융합세미나 (문과대 1소속자만 수강가능,이중/복수/부전공수강불가,문과대 홈페이지공지 필수확인)","이형대,강제훈남호현,이민주",2019-2학기,전공선택,3,꼬미의캔따개,5,5,5,1,5,4,"막연하게 새로운걸 들어보고자 신청했는데 이번학기 최고의 꿀강이었습니다 ㅠㅠ 중간기말 없고 수업때마다 점심도 주시고 학점도 잘주셨어요!
수업은 교수님들의 위대함과 저의 멍청함을 느끼는 것의 반복이었어요.. 내용이 어렵기도 하고 통강이라 졸리기도 합니다 ㅠㅠ 그래도 한국 전통 문화를 중심으로 다양한 분야 전문 교수님들의 수업을 들을 수 있어서 정말 좋은 경험이었습니다! 중간에 답사도 간답니다 ㅎㅎㅎ 금공강을 포기하고 들을만한 가치가 있어요!!!"
2,COLA200,"인문융합세미나 (문과대 1소속자만 수강가능,이중/복수/부전공수강불가,문과대 홈페이지공지 필수확인)","이형대,강제훈남호현,이민주",2019-2학기,전공선택,3,뇸뇸,5,5,2,5,5,3,"밥도 주고 교재도 주고 학점도 잘 주는 최고의 강의. 왕실 문화에 대해 관심이 많았는데, 잘 알고 있는 것은 아니라 학점 걱정에 관련 교양을 많이 듣지 못했는데, 시험이 없으니까 정말 마음 편하게 들을 수 있어 좋았습니다. 평소 관심 갖고 있던 분야들에 대해 단기간에 배울 수 있는 최대의 깊이로 수업 받을 수 있어 매우 만족했습니다. 출석이 가장 중요한 평가 기준인 것 같고, 레포트 등의 과제도 무척 적은 편이라 정말 부담이 적습니다. 최고의 수업 !"
3,COLA200,"인문융합세미나 (문과대 1소속자만 수강가능,이중/복수/부전공수강불가,문과대 홈페이지공지 필수확인)","신영호,민경현",2019-2학기,전공선택,3,술주식게임만합니다,1,5,4,2,5,3,"중간고사x 기말고사 레포트 대체, 공식적인 출석x, 적은 인원이라 안나오면 눈에 띄고 하루에 3시간 가까이 수업 듣는 부담만 피한다면 좋음"
4,COLA200,"인문융합세미나 (문과대 1소속자만 수강가능,이중/복수/부전공수강불가,문과대 홈페이지공지 필수확인)","신영호,민경현",2019-2학기,전공선택,3,날아라봉봉,5,2,2,1,4,3,"사회주의 법과 북한법에 대한 수업입니다. 저는 법에 관심이 많아서 수강하였는데 너무 만족스러운 강의였습니다.1주~2주마다 다른 연사분들이 와서 강의를 해주시는데 총 열분정도가 오셨습디다. 로스쿨 교수님들,판사,검사,변호사님 등등 빵빵하신 분들의 특강을 들을 수 있어서 좋은 경험이었습니다. 중간,기말은 없고 중간에 토론 하긴 했는데 그건 점수에 안 들어간 것 같고 마지막 레포트로 학점이 결정난 것 같습니다. 한 학기내내 편히 수업 듣다가 기말 끝나고 3페이지 이상 레포트만 제출하면 되었기 때문에 나름 꿀이라고 할 수 있습니다. 주제는 이제까지 강의했던 주제중에 선택하면 됩니다. 저는 제가 관심이 많이 가는 주제를 택해서 쓰다보니 7페이지를 넘겨서 제출하였고 A+을 받았습니다. 아마 성의를 보여 열심히 썼으면 대부분 학생들에게 좋은 점수 준 거 같습니다. 다음학기에도 똑같은 주제로 열릴지는 모르지만 북한이나 법에 관심이 있으면 추천합니다!"
5,COLA200,"인문융합세미나 (문과대 1소속자만 수강가능,이중/복수/부전공수강불가,문과대 홈페이지공지 필수확인)","송상기,김준현김용현,이순희이명현,신지영",2019-1학기,전공선택,3,희나리,5,5,4,4,4,5,"독문학, 불문학, 노문학, 서문학에서 각각 1~2개의 작품을 지정해서 읽고 토론하는 수업이었어요.
교수님 + 10명 내외의 학생들로 구성되었는데 나름 긴장감도 있고 흥미로웠어요.

매주 책을 읽어가야 하는 것이 부담스러운 것은 사실이에요.
책을 읽지 않는다고 감점이 주어지는 것은 아닌데 수업이 가시방석으로 느껴질 수 있어요.
생각을 많이 하게 되는 수업이라서 확실히 성취감이 있고 뿌듯합니다.

중간고사와 기말고사는 지정 도서에 관한 자유 주제 레포트로 대체됩니다.
교수님들께서 학점도 전체적으로 후하게 주시는 듯합니다.

추천합니다!"
6,COLA200,"인문융합세미나 (문과대 1소속자만 수강가능,이중/복수/부전공수강불가,문과대 홈페이지공지 필수확인)","송상기,김준현김용현,이순희이명현,신지영",2019-1학기,전공선택,3,힣힣헿,5,5,2,4,5,5,일단 박준구 선배님께 너무 감사드리는 수업. 박준구 선배님의 지원으로 책도 받고 일반적인 강의식 수업과 다르게 교수님들과의 피드백도 빠르게 오고가서 좋았었다. 그냥 무난하게 수업때 열심히 참여하고 레포트도 기본만 한다면 학점도 후하게 주시는 듯.
7,COLA200,"인문융합세미나 (문과대 1소속자만 수강가능,이중/복수/부전공수강불가,문과대 홈페이지공지 필수확인)","송상기,김준현김용현,이순희이명현,신지영",2019-1학기,전공선택,3,Ryr3522,4,3,5,5,5,5,많이 재밌었어요ㅎㅎ 또듣고싶은 강의!!!!!!.!!.!.!.!.
8,COLA200,"인문융합세미나 (문과대 1소속자만 수강가능,이중/복수/부전공수강불가,문과대 홈페이지공지 필수확인)","송상기,김준현김용현,이순희이명현,신지영",2019-1학기,전공선택,3,빌린아이디가기억아니나네,5,5,4,5,4,4,"박준구 선배님께서 강의를 지원해 주셔서, 점심도 제공받고 책도 제공받는다.
정전이란 무엇인가?를 주제로 여러 학과의 교수님과 수업했다. 자신의 전공 책뿐만 아니라, 타과의 전공책(문학)도 읽을 수 있다는 점에서 굉장히 만족스러웠다.
말하는 사람만 말 한다는 게 이런 수업에서 흔히 발생하는 현상인데, 다른 식으로 말한다면 말하지 않는 사람은 거의 말하지 않는다. 책을 읽어오지 않으면 수업에 참여할 수가 없다. 그래서 그런지 와서 책만 펴놓고 자는 사람도 보았는데 이런 사람은 오지 않았으면 한다. 한주에 적어도 한권의 책은 읽어가야 하기 때문에 성실성은 기본임을 잘 아는 학생들에게 추천한다. 여러가지로 생각할 거리를 주셨기 때문에 만족한다."
9,COLA200,"인문융합세미나 (문과대 1소속자만 수강가능,이중/복수/부전공수강불가,문과대 홈페이지공지 필수확인)","송상기,김준현김용현,이순희이명현,신지영",2019-1학기,전공선택,3,영앤리치마어퍼커,3,3,4,2,5,4,"교수님, 학우들과 많은 대화를 할 수 있는 수업입니다. 책도 무료로 주고, 밥도 줘요. 술도 한번 사주셨습니다. 가만히 앉아있는것 보다 책을 읽고 다양한 토론을 원하시는 분들에게 추천 드립니다. 과제는 학기 내 레포트 2,3개 입니다. 시험은 없어요!"
10,COLA200,"인문융합세미나 (문과대 1소속자만 수강가능,이중/복수/부전공수강불가,문과대 홈페이지공지 필수확인)","유석훈,이재훈",2019-1학기,전공선택,3,Crank,4,5,3,3,3,3,"한학기 동안 두번 토론 (조별 기획)
중간 레포트(과제) 기말 에세이(현장에서)
있습니다 출석은 매일 합니다.
학점은 그냥 보통으로 주시는 것 같습니다"
11,COLA200,"인문융합세미나 (문과대 1소속자만 수강가능,이중/복수/부전공수강불가,문과대 홈페이지공지 필수확인)","유석훈,이재훈",2019-1학기,전공선택,3,꿀강찾는꿀벌,2,5,2,1,1,2,"다시 같은 주제로 열리지는 않겠지만 일단 강의평을 작성해봅니다. 정치 담론을 토론형식으로 찬반 나누어 강의 진행했습니다. 유석훈 교수님은 둘째 날까지만 나오시고 나머지는 모두 이재훈 교수님이 하셨습니다. 정말 진행되고 있는 정치 이슈에 대해서 하기 때문에 시사 상식을 얻고 싶으면 좋습니다. 이론적인건 거의 배우지 않습니다. 시험이 없고 중간 에세이, 기말 에세이 각각 3장 분량으로 정치 이슈에 대해 자신의 의견을 적어 내면 됩니다. 시험이 없기에 시키는 것 다하고 토론에도 잘 참여했다고 하더라도 엄청 눈에 띄게 적극적이지 않으면 성적을 잘 주지 않으시는 것 같습니다. 생각한 것보다 성적이 안나와서 별로였네요. 시간대가 별로라 수강신청한 거 1학기동안 후회했습니다."
12,COLA200,"인문융합세미나 (문과대 1소속자만 수강가능,이중/복수/부전공수강불가,문과대 홈페이지공지 필수확인)","유석훈,이재훈",2019-1학기,전공선택,3,pureskw,3,5,1,1,2,1,"꿀과목
인문융합세미나 이름 달고 나온 강의들이 혜자강의라는 점이야 익히 알려져 있지만 실제로도 꿀이었던 과목
어차피 이 과목 담당 교수진 및 교수 내용이야 매 학기 바뀔 테니 크게 강의평이 의미 있는지는 모르겠다.
이번 학기 수요일 분반의 경우 주1회 수업으로 언어학과 출신 교수님과 MBC 기자님이 수업을 맡으셨는데 사실 언어학 교수님께서는 첫 수업 때 보이시고 이후에 사라지심;;;
사실상 기자님께서 모든 수업을 주관하셨는데 내용이 심히 원론적이었다. 준비해오신 영상 자료 등을 제외한다면 무언가 새로 배우는 성취감은 크지 않았던 수준. 수업의 전반부는 본인이 강의로 하시고 후반부는 조별 토론으로 진행했는데 조별 토론은 잘 되는 조도 있었지만 사실상 준비해온 자료를 읽어오는 식인 경우도 많았다. 다만 준비 상태와는 별개로 토론은 아예 외면하고 잡담을 나누는 등 최소한의 예의를 지키지 않는 학우들이 몇몇 있어서 눈살이 찌푸려졌다. 딴짓을 할 거면 제발 눈에 틔지 않게 혼자 하자.
특이할 만한 다른 점으로는 중간고사 이후 MBC 현장탐방을 가서 고대 출신 기자, PD 분들과 시간을 보낼 수 있었다는 것. 한 학기 중 제일 보람 있었던 체험. 언론 쪽으로 진로를 준비하는 학우라면 좋은 기회가 됐을 것이라고 생각한다.
평가는 출석과 함께 조별 토론, 중간 레포트, 기말 시험. 출석 한 번 빠진 것 말고는 잘 했다고 생각했는데 왜 + 못 받았는지 의문. 그래도 꿀 빨았던 것 생각하면 나쁘지 않았다고 생각한다. 다만 수요일 7시까지 학교에 남아 있는 건 고통스러웠다."
13,COLA200,"인문융합세미나 (문과대 1소속자만 수강가능,이중/복수/부전공수강불가,문과대 홈페이지공지 필수확인)","유석훈,이재훈",2019-1학기,전공선택,3,당근가지,4,5,3,1,4,2,"하는게 없어서 꿀이지만 학점 기준이 모호하네요
편하게 학교 다니고 싶으시면 추천"
