,과목코드,강의이름,교수이름,학기구분,이수구분,학점,사용자이름,총평,출석체크,난이도,학습량,학점,성취감,강의평
0,COSE488,졸업프로젝트(캡스톤디자인)Ⅱ,이용균,2019-2학기,전공선택,3,K000,5,3,3,3,3,3,"졸업프로젝트가 뭔지는 다들 아실텐데 이번 졸업프로젝트를 기점으로 발표회라는게 생겼습니다.

처음 있던 거라 체계가 잘 잡히진 않은것 같고, 앞으로도 계속 발표회가 있을지 모르겠는데, 만약 있다면 아래와 같이 진행되는 것 같습니다.

발표회는 졸업프로젝트 경진대회와는 다릅니다.

졸업프로젝트 경진대회 또는 발표회 둘 중 하나를 무조건 모두 참여해야하며, 정당한 사유가 있을 경우에 한해 참석을 하지 않아도 인정이 됩니다. 발표회의 경우 평가자 3인이 발표를 듣고 질의응답을 하는 방식으로 진행됩니다.
발표는 진행한 졸업프로젝트에 관한 PT 이며, 발표회가 막 어려운 것은 아니나 어쨌든 한 가지 과정이 추가된 것이라고 볼 수 있습니다."
1,COSE488,졸업프로젝트(캡스톤디자인)Ⅱ,이용균,2019-2학기,전공선택,3,pinkzizi,5,3,3,3,3,3,졸프입니당. 재밌습니당. 하고 싶은거 해용.
2,COSE395,사물인터넷설계,이재훈,2019-2학기,전공선택,3,Yeolllll,5,5,1,2,4,4,난이도 자체는 다른 수업에 비해 굉장히 쉬운편이고 선수과목도 필요없어요. 학생들 한테 잘해주세요.
3,COSE395,사물인터넷설계,이재훈,2019-2학기,전공선택,3,kyw,5,5,3,3,5,3,"다양한 센서들을 체험해 볼 수 있는 강의.
너무 기초적인 느낌이 있긴 함"
4,COSE395,사물인터넷설계,이재훈,2019-2학기,전공선택,3,alak,5,5,3,3,4,2,"실습 위주의 수업이라 학습량은 다른 전공에 비해 적은편이에요

c언어 기본만 알면 프로젝트나 수업 내용 따라가는데 지장은 없고 수업도 아두이노 기초부터 하는거라 별로 어렵지 않아요 (라즈베리파이가 이번엔 시험범위에서 빠졌지만 들어가면 살짝 어려울것같아요)

출석은 매번 부르시고 이번에는 중간은 안보고 기말만 봤는데 프로젝트는 변별력이 별로 없어 거의 기말 시험점수로 성적이 나왔습니다."
5,COSE395,사물인터넷설계,이재훈,2019-2학기,전공선택,3,안주나라,5,4,3,4,4,5,"재밌는 주제고 실습도 많고 배운것도 많은것같아요
학점도 괜찮게 주시는데

다만 교수님 목소리가 조금 졸리긴 합니다"
6,COSE395,사물인터넷설계,이재훈,2019-2학기,전공선택,3,학고안녕,4,5,3,3,4,3,"실습 위주의 수업으로 2인 1조, 혹은 3인 1조로 이루어져 수업을 진행하게 된다.

난이도는 쉬운편이나 시험을 잘 보려면 수업때 사용한 아두이노 코드와 회로를 머리 속에 때려 박아야 한다.

실습 외의 이론적 부분은 데통이나 컴네에서 다루던 걸 그대로 사용한다. 이 수업들을 들었다면 매우 쉬울 것.

팀단위 텀프로젝트 하나가 있는데 보통 수업조 그대로 진행하더라. 수업시간에 한 코드와 회로를 몇개 섞는 정도면 ok인 수준이라 어렵진 않다."
7,COSE395,사물인터넷설계,이재훈,2019-2학기,전공선택,3,하하하승환,4,5,3,3,4,4,"정보대학의 천사 이재훈 교수님의 수업입니다 ㅎㅎㅎㅎ 사물인터넷이라기보다는 아두이노 쪽을 건드리는 수업이긴 한데, 관심 있으시면 들어보시는 것을 추천합니다. 수업도 깔끔하게 잘 하시고 학생들을 정말 많이 배려해 주시는 게 느껴집니다. 텀 프로젝트도 그렇게 막 부담되지 않습니다."
8,COSE395,사물인터넷설계,이재훈,2019-2학기,전공선택,3,neytiri,4,1,1,1,1,1,내용은 많이 와닿지 않았지만 교수님이 학생들 많이 배려해주십니다 실습도 재미있습니다
9,COSE395,사물인터넷설계,이재훈,2019-2학기,전공선택,3,디누,5,5,3,2,4,2,중간고사가 없고 과제도 별로 없고 기말이 오픈북이었습니다. 오픈북 시험은 치팅시트쓰게 해주시는데 배점 높은 문제는 치팅시트 필요없고 코드작성해야 해요. 교수님이 너무 친절하시고 착하셔서 조금 힐링시간이었습니다. 일주일에 한 번 실습하는데 어렵지는 않고 재밌어서 남는 건 별로 없던 것 같아요. 공부를 안 해도 괜찮은 점수를 받을 수 있지만 남는 게 있으려면 수업 잘 듣고 공부해야 하는 것 같습니당.
10,COSE395,사물인터넷설계,이재훈,2019-2학기,전공선택,3,룰루유후오호,3,5,3,3,3,3,"마지막에 프로젝트 아두이노 키트 이용해서 간단히 한거 제외하고 뭘 배운지 잘 모르겠어요
샹각보다 iot를 깊게 배우기보다 회로 설계 센서등만 간단히 봅니다
시험은 기말 오픈북이었는데(치팅시트) 치팅시트가 거의 쓸모가 없었어요
회로설계나 선 잘 연결하면 좋을것같습니다"
11,COSE395,사물인터넷설계,이재훈,2019-2학기,전공선택,3,노답14학번,5,5,3,2,4,4,"정보대학 천사 이재훈 교수님 사랑합니다
출석체크는 매일 하심. 중간은 없고 12월 초에 시험 1번 봄. 치팅페이퍼 A4 앞뒤 1장
아두이노에 관해 많이 배우고 IoT에 관한 프로젝트 있음
교수님이 천사신게 학생들에게 최대한 맞춰주고, 실습때도 하나하나 상세히 다 알려주심
프로젝트에선 변별력이 거의 없고 시험을 잘봐야함"
12,COSE395,사물인터넷설계,이재훈,2019-2학기,전공선택,3,붕붕부릉,4,5,1,3,3,3,"기말 프로젝트는 재밌긴 한대 학점에 거의 영향 없음.
시험을 단한번 보므로 살짝 미끄러져도 성적이 미끄러져버림."
13,COSE395,사물인터넷설계,이재훈,2019-2학기,전공선택,3,whwowls,4,5,3,4,4,4,한학기 동안 아두이노를 가지고 실습과 이론 강의를 중심으로 가르치십니다. 강의 내용이 어렵지 않아서 재미있게 배울 수 있었습니다.
14,COSE395,사물인터넷설계,이재훈,2019-2학기,전공선택,3,D데이,5,5,2,2,5,3,"다른 과목이었으면 C, D 맞아도 할 말 없는 수준의 등수였지만 B+을 보고 제 눈을 의심했습니다.
아두이노를 다뤄보셨던 적이 있으신 분이라면 수업 따라가는 데 문제 없을 듯 합니다. 수업 내용 자체는 어렵지 않았어요.
기말은 나름 어렵다 생각했는데 다들 평균이 높으시네요.. 프로젝트는 진짜 할 것만 하면 변별력 X입니다.
교수님 사랑해요"
15,COSE395,사물인터넷설계,이재훈,2019-2학기,전공선택,3,7illume21,5,5,3,2,4,5,"1. 매 시간 출석체크

2. 과제 / 아두이노 프로젝트

과제
- 이번 학기는 하나밖에 없었음
- tinkercad 코드 작성하는 과제

아두이노 프로젝트
- 한 학기동안 배운 내용 바탕으로 직접 구현
- 2~3인 1조
- 15만원 가량 부품 주문 가능
- 요구 조건만 만족하면 점수 대부분 받을 수 있음
- 다른 과목 시험과 겹치지 않게 발표 시기 최대한 편의 봐주심
- 변별력 x

3. 기말고사
- 치팅 시트 한 장 허용: 평균 높음, 자잘한 내용 꽤 출제
- 코드 하나 작성하고, 작성한 코드 응용하는 문제
- 회로 연결하는 문제

-:
단점 없음

+:
수업 자료 깔끔
학생 편의 정말 많이 봐주심

수업 때 출석해서 강조/필기하시는 부분 확인만 하고
시험기간에 책(사물인터넷을 품은 아두이노) 훑어도 될 듯"
16,COSE395,사물인터넷설계,이재훈,2019-2학기,전공선택,3,BIGPEL,4,5,3,3,4,4,"출첵 매번 하십니다.
플젝보다는 시험에서 성적이 많이 갈립니다.
받은 성적에 비해서 학점은 잘 받았습니다."
17,COSE156,모두를위한파이썬프로그래밍,유길상,2019-2학기,교양,3,주이,5,1,2,3,4,4,몇 년 전에 C언어 핥짝여본 적 있는 문과생인데 어렵다는 느낌 없었고 출석체크 1번 하지 못했음에도 A+ 받았습니다. 전반적으로 학점을 잘 주시는 것 같습니다. 연습문제 한 번씩 풀어보고 가면 중간/기말에서 문제 점수 깎일 일은 없을 것 같습니다.
18,COSE156,모두를위한파이썬프로그래밍,유길상,2019-2학기,교양,3,우지끈,4,4,3,3,3,3,"출석을 일주일에 한번만 해도 다 채울 수 있고 내용이 쉬웠다
중간 기말 전에 과제가 하나씩 나가며 시험은 현장에서 코드를 작성하는데 어렵지 않았다"
19,COSE156,모두를위한파이썬프로그래밍,유길상,2019-2학기,교양,3,닉네임바꿀수있게해주세요,4,2,5,1,4,3,"출석체크는 본인이 종이에 표시하는데 한꺼번에 해도 돼서 부담은 없어요
내용은 매우 쉽고 중간고사 이후부터 약간씩 어려워지긴 합니다
그래도 할만해요! 추천드려요
교양강의인만큼 정말정말 쉽게 설명해주십니다. 약간 너무하다 싶을 정도
시험도 무감독이에요"
