,과목코드,강의이름,교수이름,학기구분,이수구분,학점,사용자이름,총평,출석체크,난이도,학습량,학점,성취감,강의평
0,CYDF177,과목60,강찬옥,2019-2학기,전공필수,2,곰곰곰곰곰곰,5,5,3,3,4,4,"강교수님과의 마지막 수업이었습니다.
리더십과목이라 이론적인건 많지 않아 그렇게 뭔가 외울 것도 많지 않았던 것 같아요.
그래서 시험공부할 때는 뭘 공부해야 하지 싶었지만 그래도 교수님께서 마지막에 시험에 뭐 내실지 정리해주셔서 그것대로 공부했고 다들 상황은 비슷하니 비슷하게들 시험은 본 것 같습니다.
강교수님 수업은 항상 좋습니다~~"
1,CYDF218,과목66,김경곤,2019-2학기,전공선택,3,skysoon02,5,5,2,3,4,5,해킹에 대해 전혀 모르는 분이라면 필수입니다. 해킹이란 분야에 어떤 것이 있는지 알 수 있습니다. 구체적인 기술을 가르쳐 주는것이 아니라 숲을 보여주시는 느낌? 학점은 잘 주시고 시험도 A가져가라는 식의 시험입니다.
2,CYDF218,과목66,김경곤,2019-2학기,전공선택,3,코리안스튜방,5,4,1,4,5,4,갓경훈 교수님... 학생을 생각하시는 참교수님
3,CYDF218,과목66,김경곤,2019-2학기,전공선택,3,전기자석파,5,4,2,4,5,4,정말 천사같은 교수님이십니다... ㅎㅎㅎㅎ
4,CYDF218,과목66,김경곤,2019-2학기,전공선택,3,vared,5,2,3,2,5,5,"실질적인 부분에서 많은 도움을 받을 수 있는 수업
실습을 많이 해주시고, 친절하게 설명해 주셔서 이해가 빠르다.
시험도 오픈북이다.실습 형태로 진행된다."
5,CYDF218,과목66,김경곤,2019-2학기,전공선택,3,eieieing,5,5,2,1,5,3,배우고자 한다면 많이 배우겠지만 아니라면 가볍게 만족스러운 학점 받을 수 있습니다
6,CYDF218,과목66,김경곤,2019-2학기,전공선택,3,noheat61,5,5,3,3,5,4,해킹의 다양한 분야에 대한 기초실습 정도인 것 같습니다 저는 엄청 좋게 들었어요!(A+폭격기입니다)
7,CYDF218,과목66,김경곤,2019-2학기,전공선택,3,Ugon,5,5,3,3,5,5,A+폭격기에 많은것을 배워가는 수업입니다. 강추
8,CYDF218,과목66,김경곤,2019-2학기,전공선택,3,은하수는없지만,5,5,1,1,5,3,"그저 A+ 자판기. 이렇게까지 수업 안 들어도 되나 싶을 정도로 수업 안 듣고 딴짓했는데 시험이 오픈북+인터넷 검색도 허용이어서 시험치면서 공부해도 시험 100점이 가능한 수업.

교수님도 너무 좋으시고 수업도 전반적으론 괜찮은데 과목 특성상 해킹을 폭넓게 다뤄야 하다 보니 깊이 면에서는 좀 불만족스러울 수 있음. 그래도 쉬는시간이나 수업 끝나고 질문도 잘 받아주시는 등 본인이 원하면 많이 얻어갈 수 있는 수업."
9,CYDF310,과목36(영강),권헌영,2019-2학기,전공선택,3,이용창,5,2,3,4,5,3,"교수님이 너무 멋있다.

과제는 조금 많다. 주의하시길. 다만 오티날 예고되는 것 보다는 적으니 첫날 수업듣고 무서워서 튈 정도는 아니다. 교수님이 바쁘셔서 수업이 자주 사라진다."
10,CYDF310,과목36(영강),권헌영,2019-2학기,전공선택,3,Deal,5,5,3,3,5,4,정보보호에 관한 법들을 매주 하나씩 배운다. 매주 글을 써서 제출하고 발표하는게 귀찮긴 하지만 제출기한이 지나더라도 수업시작전까지만 제출하고 중간기말대체과제만 제출하면 A+을 주신다. 출석은 항상하니 늦었더라도 가자.
11,CYDF300,과목26,이경문,2019-2학기,전공필수,3,sr1943,4,1,5,5,4,5,"매 주 코딩 과제가 나가고, 난이도가 조금 있습니다. 그만큼 배우는 것이 많고 성취감도 높은 편이며 성적 또한 열심히 한 만큼 나갑니다."
12,CYDF300,과목26,이경문,2019-2학기,전공필수,3,새벽2시까지만,5,1,4,4,5,5,출석체크는 하지 않으시며 거의 매주 과제가 나오지만 모든 과제를 제 시간에 제출한다면 A+을 주십니다. 많은 내용들을 배울 수 있어 성취감을 얻을 수 있습니다.
13,CYDF300,과목26,이경문,2019-2학기,전공필수,3,hikhakhek,5,1,5,5,5,5,"과제가 매주 있어서 힘들지만 다 하기만 하면 a+ 주시는 교수님, 많은 것들을 배울 수 있어서 좋은 과목, 수업도 재밌는 과목"
