,과목코드,강의이름,교수이름,학기구분,이수구분,학점,사용자이름,총평,출석체크,난이도,학습량,학점,성취감,강의평
0,DISS282,한국외교콜로퀴움(영강),"박성훈,강문성강규원,안호영",2019-2학기,전공선택,3,martina,5,5,2,1,5,3,"There are different people to give lectures every time, and attendance will be calculated every time, and it is possible to spot check in the middle. There is no homework or publication, just listen to the lecture, so you will get a pass at the end of the semester"
1,DISS282,한국외교콜로퀴움(영강),"박성훈,강문성강규원,안호영",2019-2학기,전공선택,3,Daphne13,5,5,3,2,5,3,This class is just P/F. There're no exams or assignments. All you have to do is to attend all the class then you can pass this course.
2,DISS244,유럽지역입문(영강),박성훈,2019-2학기,전공선택,3,끼요미,4,5,2,3,4,4,생각보다 시험 문제가 예상치 못한 곳에서 많이 나옴
3,DISS244,유럽지역입문(영강),박성훈,2019-2학기,전공선택,3,xiwangcui1,3,4,3,3,3,3,"-그룹을 잘 만나서 발표와 페이퍼를 제 때 잘 완성하는게 관건인 수업
-시험은 큼직한 주제 몇 가지로 문제를 내신다
-수업의 흐름만 잘 파악하고 있으면 시험은 무난하게 적어낼 수 있다
-발표와 페이퍼 둘 다 깔끔하고 군더더기 없는 퀄리티를 바라시는 것 같다"
4,DISS244,유럽지역입문(영강),박성훈,2019-2학기,전공선택,3,눈이온다,5,4,3,3,4,4,"긴말 필요없고 교수님 사랑합니다 ㅠㅠ
피피티만 보면 망하니 꼭 수업 들으셔야 해영"
5,DISS244,유럽지역입문(영강),박성훈,2019-2학기,전공선택,3,녹차스콘,5,5,4,5,4,5,"국제학부 학생이라면 박성훈 교수님 수업 강추합니다.
영어 굉장히 유창하시고 사용하시는 어휘도 수준이 높아요. 유럽에 대해서 노베이스시더라도 교수님께서 차근차근 설명해주시니깐 걱정 안하셔도 돼요.
다만 매 수업 나가는 진도가 정말 많으니 그때그때 복습하시는거 추천드릴게요. 중간 기말 모든 문제 에세이 타입이었고 완벽하게 암기하고 있지 않은 이상 좋은 점수 받기 힘듭니다. 그런데도 최종성적은 정말 후하세요.
이번학기 들은 수업 중 가장 많이 얻어가는 수업입니다."
6,DISS244,유럽지역입문(영강),박성훈,2019-2학기,전공선택,3,shaylo,5,4,4,4,4,5,"국제학부 수업 치고는 학습량이 많은 편입니다. 하지만 그만큼 성취감이 큽니다.
저는 개인적으로 대학 들어와서 처음으로 진심으로 존경하는 교수님이 생겼습니다. 박성훈 교수님 정말 대단하신 분입니다. 학생들 생각을 너무 많이 해주시고 수업시간에 질문, criticism 모두 openly하게 말할 수 있는 환경을 만들어 주십니다. 그리고 목소리가 조금 나긋나긋해서 졸리긴 하지만 영어도 잘하시고 강의도 잘 들으시기만 하면 얻어 가는 게 많을 겁니다.
시험은 중간/기말 모두 봅니다. 모두 Essay 문제에 새끼 문제 여러개 있는 형식으로 출제되었습니다.
학기 초반엔 매일 출석을 불렀으나 이것은 교수님이 이름 외우시려고 하는 것 같습니다. 학기 후반부에는 출석을 부르지 않으셨습니다.
학기 후반부에는 group project/presentation이 있고, 이에 대해서 팀당 4000자 레포트를 써야 했습니다. presentation 전부 교수님께서 집중해서 들으시니 성의껏 해야 합니다.
매우 추천하는 수업입니다. 교수님 너무 좋으신 분입니다."
7,DISS244,유럽지역입문(영강),박성훈,2019-2학기,전공선택,3,lololololol1231,5,3,2,2,3,4,"이번 학기 가장 재밌게 들었던 수업입니다.

다만 저는 학점을 더 잘받을 줄 알았는데 A0 받아서
학점을 잘 주시는 지는 잘 모르겠습니다.
시험 성적이나 발표 점수도 안알려주셔서 확인할 방법이 없네요

다만 수업시간은 정말 재밌었습니다.
교수님께서 워낙 프로페셔널 하시고 현업에서 일하신 경험도 있으셔서
정말 재밌게 들었던 수업입니다.

시험 난이도는 어렵지는 않고 기말발표 페이퍼 하나씩 있습니다.
학습량은 보통인것 같습니다."
8,DISS244,유럽지역입문(영강),박성훈,2019-2학기,전공선택,3,노잼닉네임,5,4,4,5,4,5,"이번 학기에 들은 수업 중 가장 인상깊었고, 재밌었고, 많이 남는 수업이었습니다. 다른 분들이 쓰셨듯이 유렵지역입문이 아니라 'EU입문'입니다. EU의 역사에 초점이 맞춰져있고 주요 조약과 사건, 그리고 구성조직 등을 배웁니다. 아무래도 생소한 내용이다 보니 수업을 들으면서 이 많은 걸 어떻게 다 외워야하나 걱정했는데 확실히 재미를 느끼니 생각보다 부담되진 않았어요. 하지만 양이 많은 건 사실입니다. 피피티에는 정말 간략하게 내용이 정리되어 있거나 소재만 적혀있기 때문에 교수님 말씀을 정말 잘 들어야 합니다. 어려운 부분은 한 번 더 설명해주시기도 하고 반복되는 내용도 있기 때문에 후반부로 갈수록 공부 걱정은 덜었습니다. 팀플은 EU와 관련된 주제 아무거나 골라서 발표하시면 되고 보고서도 작성해야 합니다. 기말 점수는 모르겠고 중간은 성적이 좋았는데 아는 내용 모조리 다 썼습니다. 제가 진짜로 잘 써서 점수를 잘 받았는지, 아니면 원래 후하게 채점하시는 편인진 모르겠으나 고득점을 하고 싶다면 질문에서 벗어나지 않는 선에서 많이, 자세히 써야 한다는 법칙은 변하지 않습니다.
시험범위도 많고, 보고서 양도 많기 때문에 마냥 쉬운 수업이라고는 할 수 없겠지만, (덤으로 5-6교시라서 점심 먹고 피곤, 교수님 목소리도 많이 크지 않음) 유럽연합의 ㅇ자도 모르고 국제학부 수업이 처음이었던 저에게 정말 인상적인 수업이었습니다."
9,DISS244,유럽지역입문(영강),박성훈,2019-2학기,전공선택,3,sophiakim,5,4,3,4,4,4,"교수님이 정말 정말 좋으세요!
정말 존경스러운 분입니다
내용은 정말 많고 유럽지역입문이 아니라 EU의 역사라고 과목명을 바꿔야할 정도로 EU의 시초부터 현재까지 다 배워요
내용이 엄청 어렵진 않지만 학습량은 정말 많습니다
기말도 누적 이어서 더 부담스럽구요
자잘한 과제는 없지만 중간, 기말, 발표, 페이퍼까지 있어서 좀 힘들었지만 많이 배워가는 강의에요"
10,DISS244,유럽지역입문(영강),박성훈,2019-2학기,전공선택,3,꺄르륵꺆꺆,4,3,3,4,4,4,"출석체크: 초반에는 매번 하시지만, 교수님께서 학생들의 얼굴을 정말 빨리 외우셔서 (저 같은 경우엔 첫 날부터 얼굴을 외우셨더라고요...) 후반부에는 따로 출석체크를 하지 않으셨습니다. 지각에 대해서는 별로 깐깐하지 않으신 것 같습니다.

난이도: '유럽'에 대해 배우는 수업이라기 보단 '유럽연합'에 대해 배우는 수업이었습니다. (주로 유럽연합의 역사와 유로존, 그리고 유럽연합의 무역/농업 정책 등에 대해 배웁니다.) 그러다보니 유럽에 대해 기존에 가지고 있던 상식들은 크게 통하지 않았고, 생소한 내용들 때문에 처음에는 조금 당황하기도 했습니다. 그러나 교수님께서 알려주신 교재만 쭉 읽으시면 쉽게 흐름 파악이 됩니다.

학습량: 중간고사나 기말고사 자체의 학습량이 많은 편은 아닙니다. 그러나 중간 + 기말 + 발표 + 리포트 제출까지 해야 한다는 점에서는 조금 벅찬 감이 있었습니다. 시험 공부는 3일 정도만 잡고해도 충분했습니다.

학점: 중간 기말 적당히 보고 발표와 리포트에서 좋은 평을 받은 덕에 A+를 받았습니다 .

성취감: 유럽연합에 대해 전혀 알지 못했던 상태로 수업을 들은 터라 새로 배워가는 내용이 정말 많았습니다. 교수님은 EU 전문가이신 만큼 정말 많은 지식을 보유하고 계시고, 질문에 대한 대답도 상세히 해주십니다. 절대로 꿀강이라고 부를 수는 없으나 국제학부 학생이라면 한 번 쯤은 들어볼 만 하다고 생각합니다. (그리고 교수님이 정말 귀여우십니다... 왠지는 모르겠지만 정말 그래요... 그리고 정말정말 친절하십니다!!!)"
