,과목코드,강의이름,교수이름,학기구분,이수구분,학점,사용자이름,총평,출석체크,난이도,학습량,학점,성취감,강의평
0,EAES394,지구과학교과교재연구및지도법,한신,2019-2학기,교직(비사대),3,한태주,5,3,1,1,5,2,"교직 관심 없어도, 학점이랑 시간이 남는다 싶으면 들으면 좋습니다. 월요일 저녁시간이라 배고픈거만 빼면 그냥 앉아있다 오면 됩니다. 수업내용도 막상 들으면 재밌긴 합니다. 모의 수업 1~2번하면 거의 A~A+ 인 수업입니다."
1,EAES312,석유지질학,최동수,2019-2학기,전공선택,3,자춘,5,1,3,3,5,4,"출석은 알아서 종이에 체크하구요 점수도 잘 보지 않는듯 합니다.
난이도는 처음엔 쉬워보였는데 직접 시험보면 조금 세세한 부분까지 요구하시기 때문에 꼼꼼히 보셔야 합니다.
저의 경우 시험을 거의 망치다시피 봐버려서 포기했었는데 점수도 엄청 잘주셨구요
강의 진행에도 열의가 넘치십니당."
2,EAES312,석유지질학,최동수,2019-2학기,전공선택,3,상조,5,3,2,2,5,5,"출석은 문에 출석표 걸어놓으시는데 본인이 체크하시는 방식이구요
과제 부담없고 시험은 2번보는데 크게 어렵지 않습니다.
학습량도 많지않고 교수님이 열정적이시고 천사세요
추천드립니다"
3,EAES312,석유지질학,최동수,2019-2학기,전공선택,3,gurim,5,3,2,2,4,4,"직접 관련업무를 하시다 오신 분이라 현장에 있는 이런저런 일을 가르쳐 주셔서 재밌었음
시험문제 난이도는 적당했고 채점도 유도리 있게 하셔서 좋았음"
4,EAES312,석유지질학,최동수,2019-2학기,전공선택,3,kulikuli,3,3,4,4,4,3,"교수님이 열정적이시고, 실용적인면에서 배울수 있는게 많은 수업이었다."
5,EAES154,"지구환경과학실험II 이과대학 물리학과 '19학번 (25~끝), '19학번 외 재수강/미이수자 포함",임세희,2019-2학기,교양,1,고장난시걔,3,3,3,4,3,3,교수님이 친절하시고 학점 좋게 주세요. 개인이 노력만 하면 충분히 좋은 학점 받아요
6,EAES154,"지구환경과학실험II 이과대학 물리학과 '19학번 (25~끝), '19학번 외 재수강/미이수자 포함",임세희,2019-2학기,교양,1,안돼지99,5,5,1,2,4,3,"과제는 보고서 작성만 해오시면 되고, 보고서도 쓰는 데 길어봐야 15분 정도 걸립니다. 실험이 크게 어렵지는 않고, 시험도 마지막에 배웠던 내용들 정리해서 올려주셔서 평소에는 무난하게 들으시면 될 것 같습니다. 다만 중간고사 대체로 조별발표가 있고, 성적에 크게 반영됩니다."
7,EAES154,"지구환경과학실험II 이과대학 물리학과 '19학번 (25~끝), '19학번 외 재수강/미이수자 포함",임세희,2019-2학기,교양,1,돌쟁이,5,5,1,1,4,1,1학년 실험답게 부담없이 할 수 있음. 일반시리즈중 역시나 제일이 아닐까 싶음
8,EAES414,야외지질학실습,"조석주,김형수",2019-2학기,전공필수,3,gurim,4,3,4,1,5,3,"이론은 간단하고 실습위주라 몸이 힘들긴하다 그래도 직접 돌아다니며 조사해보니 하는 맛은 있지만 당일치기~3박4일 가량의 필드가 4번까지 있으니 필드를 극혐하면 비추
시험은 평이하다"
9,EAES414,야외지질학실습,"조석주,김형수",2019-2학기,전공필수,3,인존힘,4,1,2,1,3,5,"시험보다는 보고서 점수가 중요한 것 같습니다.
채점을 후하게 해주시는 편이라 환산점수가 급간이 크지않아 보고서 점수의 영향이 더 큰 것 같습니다.
답사자체는 나름 재미도 있고 즐거운 마음으로 하면 좋은 것 같습니다."
10,EAES418,오염조사/복원(영강),권만재,2019-2학기,전공선택,3,춍춍춍춍,5,5,1,1,4,4,"난이도도 안높고 학습량도 많지 않다
퀴즈2번 시험2번을 보는데 그리 힘들지 않다
학점은 절평그대로 주심"
11,EAES418,오염조사/복원(영강),권만재,2019-2학기,전공선택,3,상조,5,5,2,2,4,4,"출석 항상 하시고
학기에 1번 발표있구요 크게 부담되는 수준은 아닙니다.
과제는 거의 없다고 보시면되고 시험 3번에 퀴즈 2번 있습니다"
12,EAES418,오염조사/복원(영강),권만재,2019-2학기,전공선택,3,jumen,5,5,4,3,4,4,"환경과 지질 두 분야 중에 고민하고 있다면 꼭 들어보아야 할 강의로 추천. 환경에 대해서 얼마나 관심이 있는지 깨닫게 되는 수업이었습니다. 영어발표과제가 있지만 뛰어난 영어실력없이도 준비 열심히 하면 충분히 할 수 있고 시험, 쪽지시험들이 중요한데 족보없이 수업에 집중해서 공부한 내용으로 충분했어요~! 강의자료가 디테일해서 공부할때 편했습니다."
