,과목코드,강의이름,교수이름,학기구분,이수구분,학점,사용자이름,총평,출석체크,난이도,학습량,학점,성취감,강의평
0,EDUC364,생활지도와상담의실제(영강),정지선,2019-2학기,전공선택,3,호로루,5,2,3,2,4,4,"지각에 너그러우심
출석을 하시기는 하는데 점수에 큰 반영이 되는것같지는 않음
중간, 기말 시험점수가 중요
발표 한번 있는데 영어로 하는 것을 빼면 큰 부담 없음
교수님이 참된 상담교사라서 마음이 너그러우심
시험은 교재에서 주로 나오고 정신병에 대해서 배우는데 교재가 재밌음
paper 1장 분량 5번 쓰면 됨. paper를 다 읽으시기는 함"
1,EDUC364,생활지도와상담의실제(영강),정지선,2019-2학기,전공선택,3,버블티집사장,4,5,3,3,4,5,"평소 교육심리쪽 과목을 크게 흥미롭게 느끼지 못했는데, 본 강의 내용은 스스로에게 적용해볼 수 있어서 흥미롭게 공부할 수 있었습니다. 교수님께서 실제 상담 녹화본과 과거 경험(미국에서 상담사로 활동하셨었음)을 바탕으로 적용 위주로 수업을 진행하셨습니다. 그렇기 때문에 내용을 요약하며 미리 교재의 내용을 공부해가는 것이 중요합니다. 공부를 하지 않고 '수업 시간에 배워야지'하고 갈 경우 배우는 것이 없다고 느낄 수도 있습니다. 정보량이 많은 강의식 수업을 선호하시는 분들께는 비추합니다. 또한 자잘하게 꾸준히 챙겨야하는 과제가 많으니 그 점을 유의하여 수강신청하시길 권장합니다.
교수님께서 미국에서 생활하신 경험이 있으셔서 그런지, 인종차별과 성차별의 맥락을 충분히 이해하고 수업 중에 녹여내주신 점이 정말 좋았습니다. 교재에도 다문화적 관점에의 유용성과 페미니즘 상담이론이 포함되어 있는 등, 차별적인 사회적 맥락을 담아내는 내용들을 강의해주셨습니다. 이런 내용에 관심이 있는 분들이라면 들어보시길 추천합니다."
2,EDUC364,생활지도와상담의실제(영강),정지선,2019-2학기,전공선택,3,kts9154,5,5,1,3,5,4,상담쪽 여러 이론을 배울 수 있습니다 교수님의 배려가 좋았습니다
3,EDUC220,교수학습이론(영강),봉미미,2019-2학기,전공선택,3,황금올리브,5,5,3,3,4,5,"우선 flipped class이기 때문에 한 주에 한 번 오프라인 수업을 나가면 됩니다. 그 점에서
편리한 수업이고, 대신 온라인 수업을 들어야 다음 시간에 내는 퀴즈를 풀 수 있어요! 물론
온라인 강의는 별도의 출석체크가 없습니다. 교수님께서는 정말 성심껏 질문 받아 주시고
다채로운 생각을 할 수 있도록 최대한 유도해 주세요. 정말 교육학의 기본에 대해서 조금이라도
공부하고 싶은 분들께 강하게 추천드립니다. 퀴즈는 영상만 잘 보고 ppt 잘 보고 가면 정말
어렵지 않게 풀 수 있고요, 중간고사 대신 그룹별로 concept map이라는 것을 그리는 과제를
내 주십니다. 그 부분이 조금 어렵긴 한데 평소에 퀴즈 준비 열심히 하셨으면 어렵지 않게
해낼 수 있습니다.
결론적으로는 정말 괜찮은 수업이고 교육학에 관심이 있다면 한번쯤 들어 보시길 추천드립니다.
교수님 감사했습니다 :)"
4,EDUC220,교수학습이론(영강),봉미미,2019-2학기,전공선택,3,dobbyisfree,5,5,3,3,4,5,"배우는 내용이 체계적이고 실라버스에 충실하셨기 때문에 얻어가는 게 많은 강의였습니다.
다만 매주 랜덤으로 정해지는 팀플 멤버들에 따라 수업시간이 꿀일 수도, 힘들 수도 있습니다."
5,EDUC220,교수학습이론(영강),봉미미,2019-2학기,전공선택,3,ab77,2,5,3,4,2,3,스트레스를 많이 받는 과목
6,EDUC220,교수학습이론(영강),봉미미,2019-2학기,전공선택,3,yout12,4,5,3,2,4,5,"flipped라 강의를 온라인으로 먼저 듣고, 오프리인에서는 관련 퀴즈와 강의 내용을 적용하는 그룹 액티비티를 하는 식으로 진행이 됩니다! 중간은 안보고, 기말을 오픈북 전범위로 봤어요! 수업 내용을 강의, 퀴즈, 액티비티 등 여러 방법으로 반복해서 다루다 보니 더 잘 습득이 되었던 것 같아요. 보람찬 강의였습니다!
다만 강의 내용이 영어로 다소 빨리..? 진행되다 보니 어려운 부분도 있었는데요, 교육심리학 강의를 선수강 하신다면 훨씬 수월하게 들을 수 있을 것 같다는 생각이 들었어요"
7,EDUC220,교수학습이론(영강),봉미미,2019-2학기,전공선택,3,연파랑,5,3,4,4,4,5,"역시 명강으로 정평이 나 있는 봉미미 교수님...정말 좋은 수업이었습니다.
우선 공부를 꾸준히 하게 된다는게 가장 큰 장점인 것 같아요. 이상한 내용을 꾸준히 공부해햐 하면 정말 짜증나겠지만 수업 내용도 참 좋습니다. 배워가는게 많아요! 교심이랑 겹치는 부분이 꽤 있기도 하지만, 그 이외에도 배울 내용이 많아요.
그리고 퀴즈 때문에 공부를 성실히 하게되는 부분이 없잖아 있지만, 사실 퀴즈 자체는 주로 기본적인 개념을 알고 있다면 풀 수 있어서 공부에 큰 부담이 없어요. 강의 내용 이해 잘 했으면 별도로 공부할 필요 없고 무리 없이 다 맞을 수 있습니다(가끔가다 어려운 문제 내시긴 하는데 사실 공부를 많이 한다고 맞추기 쉬워지는 문제는 아닌 것 같아요). 하나의 강의가 시간이 그리 길진 않기 때문에, 학습량도 그렇게 많진 않아요
그리고 영강이기 때문에 영어 리스닝이 잘 되면 더 편하긴 하지만, 플립드이기 때문에 놓쳐도 다시 들을 수 있다는 장점이 있어서 큰 영향은 없는 것 같아요! 사실 강의 자체보단, 조별 활동을 할때 외국인 학생들이 있으면 영어를 써야 하기 때문에 그게 좀 부담으로 다가올 수 있다는 생각이 들었어요. 조별 활동 점수가 매번 매겨지는데, 영어를 써야 하는 경우 토론이 상대적으로 원활하게 이루어지지 않는 경향이 있어서 그 점은 조금 답답하게 느껴졌습니다. 그리고 특히 중간기말 때 만드는 컨셉맵 활동을 할땐 조원 간에 말을 많이 해야해서, 이때 조 배정이 중요합니다.
기말고사는 퀴즈랑 유형은 비슷하게, 난이도는 조금 더 어렵게 나와요. 오픈북이기 때문에 개념 흐름 정도만 머릿속에 정리해두고, 이해만 제대로 하고 시험 치면 큰 무리는 없습니다. 다만 시험 문제 수가 많기 때문에 아예 공부를 안하면 힘들거에요. 맨 마지막 논술형 문제는 조별 활동에서 나왔던 문제 중 하나가 나왔으니 시험 전에 한번 정리하고 가시면 좋을것 같습니다.
저는 수업 한번 빠지고, 퀴즈랑 조별활동에선 점수 거의 안까였고, 기말 4문제 틀렸는데 A쁠 나왔습니다. 절평이라 그리 빡세지 않은 것 같고, 점수 기준이 명확해서 좋아요. 한학기 내내 꾸준히 잘 따라가면 무리 없이 좋은 학점 나올거에요!"
8,EDUC220,교수학습이론(영강),봉미미,2019-2학기,전공선택,3,수누피냥냥,5,5,4,4,4,4,"역시 봉미미 교수님 강의는 다른 강의에 비해 얻어가는 것도 많고 매 수업시간이 알찼던 것 같습니다. 대신 그만큼 본인이 열심히 해야지 한 만큼 학점이 나오는 것 같습니다.
이번에는 월요일이 오프라인 수업 수요일이 온라인 수업이었습니다. 오프라인 수업 시작할 때 5문제 퀴즈를 보는데 오픈북인 줄 알았는데 아니어서 맨 처음 당황했습니다... 그래도 막 엄청 어렵지는 않지만 은근 한 개씩 계속 틀렸던 것 같네요.. 그래도 평가기준 비율상 학점에 그렇게 큰 영향을 미친 것 같진 않습니다.
오프라인 수업 때는 전날에 조교님이 랜덤으로 조를 짜주시면 그 조랑 함께 그룹 엑티비티를 하는 건데 어떤 조가 되냐에 따라 그 결과 편차가 매우 크고... 랜덤으로 정해지는 조장이 대부분 활동 내용을 다 정리해서 제출하기 때문에 조장이 반 이상 이끌어가는 활동이라고 할 수 있습니다... 그래도 대체적으로 교수님이 점수를 잘 주시는 것 같습니다.
그룹 활동 중에 컨셉 맵은 확실히 점수가 큰 만큼 완성하는데 시간도 오래 걸립니다. 컨셉맵 하기 전에 미리 그 전까지 배운 내용을 정리해야지 맵 구상하기도 쉽고 이걸 하면서 어느 정도 기말고사 공부가 되었던 것 같네요..ㅎ
이번에는 기말고사 한 번 봤는데 문제 수가 많아서 오픈북이지만 전체 내용을 거의 외우다시피 하셔야지 시간 안에 풀 수 있습니다."
9,EDUC220,교수학습이론(영강),봉미미,2019-2학기,전공선택,3,귀찮다 귀찮아,5,4,3,3,4,5,"출석 체크는 매주 1회 있는 수업 액티비티에 이름을 적는 것으로 대신하기 때문에 불가피하다. 그러나 개인의 선택에 따라 원하는 날짜에 1번 내지 2번(휴일 등 일정에 따라 다름) 수업에 참여하지 않을 수 있다.
난이도는 교직 과목을 조금 들었다면 무리 없이 이해 가능한 수준. 특히 교육심리와 겹치는 부분이 많다. 다만 영강이라는 특수성을 고려할 필요는 있어보인다. 전술한 액티비티에 매주 점수가 매겨지고 기말시험이 있다. 양쪽 다 난이도는 적당한 편. 학점은 정말 영어실력에 관련없이 성실함으로 한 만큼 받아갈 수 있는 과목이다. 본인은 교수님 강의력에 이끌려 나름 공을 들인 수업이었는데 그래서 얻은 것도 많았고 학점도 잘 받았다."
