,과목코드,강의이름,교수이름,학기구분,이수구분,학점,사용자이름,총평,출석체크,난이도,학습량,학점,성취감,강의평
0,EGRN103,창의설계(영강) (건축사회환경공학부),김승준,2019-2학기,전공선택,1,09876,4,5,3,3,4,4,"강의 첫 날, 1차과제 발표날, 2차과제 발표날 빼고는 수업 없었습니다 1차과제 5등 2차과제 2~3등이었는데 A0나왔던 것 같아요"
1,EGRN103,창의설계(영강) (건축사회환경공학부),김승준,2019-2학기,전공선택,1,배준형,5,2,1,1,5,3,최고에요 학점도 잘주시고 김승준 교수님 최곱니다
2,EGRN103,창의설계(영강) (건축사회환경공학부),김승준,2019-2학기,전공선택,1,koreaaaa,5,1,3,1,4,3,"1차, 2차 발표 때를 제외하고는 수업이 없습니다. 알아서 팀플로 진행하고 보고서를 제출하는 방식입니다.

간단하게 1,2주가량 집중하면 수행할 수 있는 과제이며, 과목명 그대로 창의성에서 배점을 많이 주시는 것 같습니다. 딱히 지식을 쌓는 수업은 아니며, 같은 과의 학우들과의 팀플, 그리고 창의적인 사고를 하는 연습을 하는 수업이라고 생각하시면 될 것 같습니다."
3,EGRN103,창의설계(영강) (건축사회환경공학부),김승준,2019-2학기,전공선택,1,꽈찌쭈,4,2,4,1,4,5,"중간은 리포트 대체, 기말은 a4 아크릴 두장으로 높고 단단한 구조물 쌓는걸로 대체.
학점 후하게 주심.
첫날이랑 중간, 기말 발표날 빼고는 수업 안하심."
4,EGRN103,창의설계(영강) (건축사회환경공학부),김승준,2019-2학기,전공선택,1,너구라,5,3,1,1,4,2,조별 프로젝트가 2개 있다. 성적은 하는 만큼 나온다.
5,EGRN103,창의설계(영강) (건축사회환경공학부),김승준,2019-2학기,전공선택,1,seo3428,5,5,3,4,4,5,"1. 출석체크
출석체크는 항상 하시는 것 같습니다. 애초에 수업이 몇 번 없기 때문에 거의 대부분 수업 때 출석체크를 하십니다.

2. 수업 내용 및 난이도
건축사회환경공학부에서는 4개의 창의설계가 개강되었는데, 처음 4번(4주)의 수업에는 교수님께서 돌아가시면서 수업을 진행하십니다. 이 때는 모든 분반의 학생들이 같이 수업을 듣는데 출석체크는 거의 대부분 하였던 거 같습니다. 시험은 없으므로 필기는 안해도 되지만 듣는 것도 나쁘지는 않다고 생각합니다. 4번의 수업이 끝나면 다시 각 분반으로 돌아가 첫 시간에는 한 학기동안 어떤 프로젝트를 하는지 설명하십니다. 그 후에는 수업이 없이 각 조별로 회의하면서 프로젝트를 진행하고(수업 없음), 프로젝트 평가할 때만 오시면 됩니다.

3. 학습량
프로젝트는 한 학기에 두 번 있습니다. 첫 번째 프로젝트는 ""Next-generation toilet""으로, 화장실 변기를 적은 비용으로 높은 효율을 낼 수 있게 구상하는 프로젝트입니다. 이 프로젝트는 할게 많습니다. ppt를 만들어야하고, 약 10장 내외의 리포트를 작성해야 합니다. 두 번째는 아크릴판으로 누가 더 높이, 그리고 더 큰 무게를 올려놓을 수 있을 지 구상하는 프로젝트입니다. ppt를 안 만들어도 되서 해야할 것이 하나 줄어들긴 하지만, 아크릴판을 레이저커팅기를 이용해서 조에서 알아서 해야합니다. 물론 리포트는 10장 내외로 써야 합니다. 조에서 한 명은 레이저커팅기 교육을 들어야 하고, 되도록이면 간단하게 해서 높이가 아닌 무게만 고려해서 만드는 게 좋았던 거 같습니다.

4. 학점
학점 정말 잘 주십니다. 두 번째 프로젝트 결과가 좋지 않았는데, A0를 받았습니다. 물론 첫 번째가 분반 내에서 괜찮은 결과를 받았지만, 두 번째 결과가 많이 좋지 않았는데도 좋은 점수를 받았습니다. 많은 노력을 들이지 않아도 좋은 점수를 주신 거 같습니다.

5. 성취도
레이저 커팅기 교육을 받는 사람은 어도비 프로그램을 사용하는 방법도 배우기 때문에 좋은 거 같습니다. 그리고 저희 조에서는 첫번째 프로젝트에 대한 결과물을 제작해서 재미있었던 것 같습니다. 확실한 건 재미 와 학점은 잘 주시는 것 같습니다."
6,EGRN151,컴퓨터언어및실습(영강) (전기전자공학부)(신임교원 담당 예정),김중헌,2019-2학기,교양,3,1905,5,2,2,2,5,3,전전의 신흥 에이플 폭격기 교수님 등장
7,EGRN151,컴퓨터언어및실습(영강) (전기전자공학부)(신임교원 담당 예정),김중헌,2019-2학기,교양,3,믇믇,5,1,3,3,5,5,쉽게 포기할 수도 있었지만 교수님의 이해하기 쉽게 가르치시려는 노력덕분에 흥미를 잃지 않고 했던 것 같습니다! 출석은 잘 안부르시고 학점 A+많이 주시려고 영강으로 했다는 말만큼 학점을 정말 잘주십니다.
8,EGRN151,컴퓨터언어및실습(영강) (전기전자공학부)(신임교원 담당 예정),김중헌,2019-2학기,교양,3,이순재,3,3,3,4,3,4,"C언어의 전반적인 부분을 예시문제를 풀어가면서 강의해주십니다.
시험문제는 예시와는다르게 창의성이 필요한 문제들이 나오니
공부를 미리 어느정도 해두는게 좋을것 같습니다.
막상 시험때 하려고 하면 어느 정도 좋은 점수를 받기위해서는 공부해야하는 양이 너무 많아질 것 같아요
성취감은 어느 정도 있습니다."
9,EGRN151,컴퓨터언어및실습(영강) (전기전자공학부)(신임교원 담당 예정),김중헌,2019-2학기,교양,3,그뉵멧대지,5,2,1,1,5,5,"고려대 최고의 교수님
빛이라는 단어 외에는 설명이 되지 않는다."
10,EGRN151,컴퓨터언어및실습(영강) (전기전자공학부)(신임교원 담당 예정),김중헌,2019-2학기,교양,3,안녕녕,5,1,1,1,5,5,"실습 빨리 끝남
영강이지만 한국어 강의 병행
뚜렷한 딕션과 좋은 설명
꽉 채워주시는 A+비율
과제 없음
출첵 안함

C를 공부하고 싶어도 추천
C를 이미 알고 있어도 추천
그냥 들으면 됩니다"
