,과목코드,강의이름,교수이름,학기구분,이수구분,학점,사용자이름,총평,출석체크,난이도,학습량,학점,성취감,강의평
0,ELED422,영어의의미와화용(영강),이상근,2019-2학기,전공선택,3,닥터유,5,2,4,4,5,5,"의미론과 화용론이라는 수업은 정말 이 분야에 흥미가 있는지,
아니면 적어도 가르치는 내용의 수수께끼적인 면모에 익숙하고 수업을 진행하는 동안 따라온다라면
이 수업은 매우 당신에게 편안한 수업이 될것이다.
단점이라면, 과연 내가 이 수업에 어울릴것인가 라는 질문은 수업을 듣기 시작한 이후에야 확인할 수 있기 때문에
저처럼 운이 좋아서 수업 내용에 흥미가 있다면 좋은 결과를
그렇지 않다면, 드롭을 활용해야할 수업일것이다."
1,ELED422,영어의의미와화용(영강),이상근,2019-2학기,전공선택,3,오이망고,4,5,4,5,4,5,"개인적으로 수강했던 전공과목 중에서 재미있게 들었던 과목 중 하나입니다. 교수님께서 가르치시는 것에 열정이 있으시고 내용이 많긴 하지만 예시를 충분히 들어주시기 때문에 이해하는데 크게 어렵지 않습니다. 다만 학습량이 적은 편은 아니라 몰아서 공부하면 힘듭니다. 출석은 매일 하시고 평가는 객관식 + 서술형으로 이루어진 중간, 기말과 다섯번 정도 나눠주시는 조별 문제풀이를 바탕으로 이루어집니다."
2,ELED422,영어의의미와화용(영강),이상근,2019-2학기,전공선택,3,아리아리,5,5,4,3,4,5,"교수님께서 열정이 넘치시는 수업이고 개인적으로 재미있게 들었던 수업입니다. 중간 기말고사 시험이 있고 중간고사는 범위가 Semantics, 기말고사는 범위가 Pragmatics였습니다. 중간고사는 객관식10문제와 주요개념들의 정의와 예를 서술하는 형식이었고 기말고사는 객관식10문제와 주요 개념을 적용하는 형식이었고, 중간고사가 기말보다 난이도가 평이했습니다. 팀플로 주어진 문제에 대한 서술형답안을 작성하는 과제가 3,4번 있었습니다. 수업에서 교수님께서 던지시는 질문들에 적극적으로 대답하며 수업을 참여하시면 더욱 재밌게 수업을 들을 수 있고 수업 시간 내에 최대한 개념을 이해하고 갈 수 있기때문에 추천드립니다."
3,ELED161,영어학입문(영강),이신숙,2019-2학기,전공필수,3,영교빈빈이,5,3,2,4,4,3,"출석체크는 랜덤으로 하는 것 같아요. 그래도 교수님 누가 빠졌는지 대충 아시는 것 같으니까 자주 빠지지는 않는 게 좋을 것 같아요.
중간고사랑 기말고사는 그냥 지필고산데 서술형이랑 T/F 문제로 구성되어 있었어요. 중간, 기말 전에 과제 한 번씩 해서 두 개 있는데 책에 Exercise 푸는 거라서 어렵진 않아요, 양은 좀 되는 것 같았어요. 조별 발표 하나 있는데 성적에 크게 영향 주지는 않아요.
수업은 그냥 교수님이 ppt로 진행하시고 한 챕터 끝나면 연습문제 몇 개 같이 풀어보는 식이에요. 수업도 그렇게 어렵지는 않은데 ppt랑 교수님이 주시는 수업 자료랑 내용이 좀 달라서 빈칸 채우고 없는 부분도 조금씩은 적어야 돼요. 교재 찾아보면 다 있기는 합니다.
교수님이 음운쪽 전공이라 챕터 1, 2 끝나고 나서 바로 챕터 5, 6으로 넘어가서 수업이 조금 어렵기는 했는데 챕터 3, 4랑 막 연관되는 부분은 아니라 크게 상관은 없는 것 같아요.
시험 문제가 조금 어렵기는 했는데 성적은 나쁘지 않게 주셨습니다."
4,ELED161,영어학입문(영강),이신숙,2019-2학기,전공필수,3,유토리아,4,4,4,4,4,4,"이신숙 교수님 발음이 좀 특이하시긴 한데, 시간 지나서 좀 적응하면 괜찮아요! 영입 교재의 여러가지 내용 중에서도 음성음운 쪽을 집중해서 가르쳐 주셨어요 학습량이 꽤 많았던 수업이었는데 학점은 잘 주시는 것 같아요 중간에 작은 과제 2번 있고 주제 정해서 팀플 발표 하는 거 한 번 있어요 무난무난한 수업이었습니다"
5,ELED161,영어학입문(영강),이신숙,2019-2학기,전공필수,3,닥터유,5,3,2,3,5,4,"예전에 드롭했던 제 흑역사를 완벽하게 부활시켜준 고마웠던 수업이었습니다.
3학년이나 되어서 들어서 그런것인지 다행히 수업도 이해하기 편하였고, 교수님도 많은 학생들에게 낯설기만 한 개념들을 충분히 설명해주기 위해 노력했던 모습들이 보였습니다.

특히 시험은 공부한대로 받아가는 느낌을 받았습니다. 그래도 부분점수 등에서 생각 이상으로 후하게 평가를 받았던 수업이었습니다."
6,ELED161,영어학입문(영강),이신숙,2019-2학기,전공필수,3,김주성뿌잉뿌뿌,4,5,4,4,3,4,"말그대로 영어학 입문 수업이에요
출첵 거의 매일 하시구 교재랑 ppt이용해서 수업하세요
학기말에 조별과제로 발표 한번 있었고 2~3회 간단한 과제제출 잇어요
교수님 친절하시고 잘 알려주십니다."
7,ELED161,영어학입문(영강),이신숙,2019-2학기,전공필수,3,가갸거겨고교,4,5,3,4,5,3,"출석체크를 굉장히 엄격하게 하십니다
제가 이수 자체에 목표가 있어서 높은 학점은
어떻게 평가하시는지 모르겠으나 이수 자체가 목표라면 그냥 수업 시간에 적당히 참석만 해도
학점 이수에는 문제 없습니다
피피티로 수업을 나가십니다
빈칸 채워넣는게 다소 귀찮기는 해요ㅠㅠ"
8,ELED161,영어학입문(영강),이신숙,2019-2학기,전공필수,3,열심히 살자,4,5,3,4,3,4,"교수님이 일단 너무 친절하시고 매번 학생들의 이해와 학습을 살펴주심.
프린트도 교수님께서 다 프린트 해오셔서 너무 감동이었음.
공부량은 많긴 하지만 감당할 수 없을 정도는 아니고 애초에 공부량이 많을 수밖에 없는 과목이라 괜찮았음.
학점은 한 만큼 주심.
중간 기말 두 번 다 보고
중간에 5점짜리 과제 2번 있었음.
그리고 막판에 팀플 발표 1번 있으나 그리 부담스러운 팀플은 아님.
전체적으로 나쁘지 않았던 수업."
9,ELED161,영어학입문(영강),이신숙,2019-2학기,전공필수,3,제임,5,5,3,1,1,1,"수업 떄는 ppt자료도 학습지로 제공해주시고, 설명을 ppt중심으로 하기 때문에 듣기에는 무난해요!
그리고 수업 중에 하는 책 exercise과 과제 5개 정도만 완벽하게 하실 수 있다면, 시험 또한 무난해요!
발표도 하나 있는데, 교수님께서 한 단원씩 조별로 맡아서 해요! 저는 문제풀이 맡아서 괜찮았는데, 다른 조들은 단원을 요약 정리하는 거여서 좀 힘들어보였어여! 그래도 전필 치고는 괜찮은 수업입니다. 학점도 좋아요!"
10,ELED161,영어학입문(영강),이신숙,2019-2학기,전공필수,3,잃어버린 시간을 찾아서,4,3,4,4,4,4,"이신숙 교수님께서 음성학(Phonetics) 전공자셔서 그런지 Chapter 1하신 후 바로 Chapter 5, 6로 건너뛰셔서 당황스러웠습니다. 수업 중에 교환학생이 많이 수강했는데, 교환학생들이 앞자리에 주로 앉고 더 적극적으로 참여해서 그런지 주로 교환학생들과 소통하셨습니다. 그러다 보니 phonetics의 경우 정신없이 순식간에 지나가서 혼자 공부해야하는 느낌이었습니다 ㅠㅠ 다행히 이후 단원부터 교수님 스타일에 적응하기도 했고, 교수님 역시 수업 중에 예시도 많이 들어주시고 복습/반복을 해주셔서 이후 수업부터는 비교적 마음 편하게 들을 수 있었습니다. 시험은 중간/기말이 있고 각각 평가의 40퍼센트씩 차지하는데, 교수님께서 개념과 교과서에 나온 예시 위주로 문제를 출제하셨기 때문에 교과서를 잘 공부했으면 비교적 편하게 풀 수 있었습니다. 재수강이었는데 이전에 들었던 강의에서 안 배운 범위도 배워서 많이 당황했는데 그래도 교수님께서 잘 설명해주시고 시험 기간에 교과서 읽고 피피티 자료 공부하니까 시험을 잘 극복할 수 있었습니다. 재수강이라 A+은 못 받았어도 A를 받았다는 점에서 만족합니다!"
11,ELED312,영어청해및회화III(영강),Hamilton,2019-2학기,전공선택,3,잠자는고양이,4,4,3,1,1,4,"영청3이래서 뭔가 다를것 같았으나, 챙영청 들어본 분들은 다 아시는 수업방식으로 진행하십니다.
대신, 영청1,2랑 다르게 영청3에서는 학생이 직접 기사를 선택해서 발표를 학기 중에 총 2번 합니다. 그거 빼고는 다른 영청이랑 비슷해요.. 그래서 발표 준비할 때만 해야 할게 많지, 평소에는 수업 가기 전에 기사 읽기만 하면 됩니다. 시험도 중간고사 기말고사 두번 봤는데, 중기말 다 시험문제가 하나였고, 50분동안 문제에 대해 자신의 생각을 쓰면 됐습니다. 다른 수업에 비해 부담이 덜해서 좋았고, 교생 나갈 때 들으면 더 좋을거 같습니다ㅎㅎ"
12,ELED312,영어청해및회화III(영강),Hamilton,2019-2학기,전공선택,3,테리야놀자,5,1,1,1,1,1,챙교수님은 그냥 사랑입니다. 마음도 천사시고 학점도 천사세요.
13,ELED312,영어청해및회화III(영강),Hamilton,2019-2학기,전공선택,3,강동원존나잘생김,2,5,4,4,1,4,"출첵 항상하심. 기사를 읽어가고 수업을 듣는 건데 기사 안 읽으면 이해 안 갈수도 있음. 기사 첫 수업은 짧은데 가면 갈수록 길어져서 공부량은 많은 것 같음. 수업 무조건 녹음하고 수업시간에 하는 내용 다 필기해야함. 그래야지 높은 점수 받을 수 있음. 족보가 있는데 거의 똑같이 나오니까 족보 못 받는 사람은 들으면 안됨. 70점이상 c 75점 이상 c플 이런 식으로 체계적인데, 많이 쓴다고 중요한게 아니라 정확한 내용, 수업시간에 한 내용, 교수님이 원하는 내용을 적는 게 중요하기 때문에 수업시간에 집중하는 것이 제일 중요하고 족보 답을 모르겠으면 유추해서 적지말고 친구들이랑 공유하는게 훨씬 낫다봄. 참여도는 안들어감. 발표, 과제 하나도 없음"
14,ELED312,영어청해및회화III(영강),Hamilton,2019-2학기,전공선택,3,맥주는밀맥주,5,3,2,1,4,5,"무슨 말이 필요합니까? 영교의 최고 수업
심지어 이번 학기는 챙 교수님이 4번을 다 하셔서 너무너무 좋았습니다
기사를 잘 읽어가고 토론할 주제를 15초만 고민한다면 50분을 알차게 보내실 수 있습니다.
영청을 더 이상 못 듣는게 아쉽습니다. 함께 들었던 학우 분들도 그립네요 토론하면서 정말 재미있었습니다~
I LOVE YOU CHANG YOU ARE MY HYUNG FOREVER"
15,ELED341,영미소설이해(영강) [교육관 103호에서 교육관 403호로 강의실 변경],최석무,2019-2학기,전공선택,3,냥냥댕댕,4,5,3,2,4,4,"교수님이 외적으로 너무 귀여워서 홀린듯이 수업을 듣게된다
다루는 소설 자체가 어렵지 않아서 괜찮았고 무엇보다 그 안에 hidden meaning 같은 거 교수님이 얘기해주실때 너무 신박해서 다들 ...?..?!! 하고 들었던것같다 ㅋㅋ"
16,ELED341,영미소설이해(영강) [교육관 103호에서 교육관 403호로 강의실 변경],최석무,2019-2학기,전공선택,3,쿨쿨쿨쿨,5,3,4,4,4,5,"소설에 흥미를 느끼게 된 수업이었습니다. 매주 퀴즈와 과제가 있지만 열심히
하면 성적을 잘 주십니다."
17,ELED341,영미소설이해(영강) [교육관 103호에서 교육관 403호로 강의실 변경],최석무,2019-2학기,전공선택,3,영교돌이,4,5,4,4,4,4,여러 가지 많은 작품들을 나갈 수 있어서 좋았고 매주 퀴즈를 봐서 억지로라도 읽어가야 해서 좋았습니다. 조별 토론도 심심찮게 합니다. 리뷰를 올리는 짜잘한 과제들만 많고 저희는 중간은 안보고 기말만 봤습니다.
18,ELED341,영미소설이해(영강) [교육관 103호에서 교육관 403호로 강의실 변경],최석무,2019-2학기,전공선택,3,썸머,5,5,1,4,4,3,"최석무 교수님 정말 최고! 중간 없고, 기말만 있습니다. 기말 시험 전에 큐앤에이 시간 있는데 학생들 질문 절대 귀찮아 하지 않으시고 다 꼼꼼하게 대답해주세요!!! :-)"
19,ELED341,영미소설이해(영강) [교육관 103호에서 교육관 403호로 강의실 변경],최석무,2019-2학기,전공선택,3,이불밖은위험해,3,3,3,3,2,3,"음... 정말 딱 보통인 수업... 교수님이 가끔 ??한 해석을 하시는데 엄청 비중을 두시는 건 아닌것 같기도 하고요 ㅋㅋㅋㅋ.. 그냥 놀라는 학생들을 보고 싶으셔서 익스트림한 해석도 제시해주시는 것 같은 느낌..? 뭐든 교수님이 짜주신 조별로 하는데 생각보다 괜찮아요 토론도 어려운 주제가 아니기도 하고, 그래서 또 의견 일치를 보기도 쉽고요. 다만 가끔 시간이 좀 촉박해서 아직 의견이 안나왔는데 저희 조가 발표에 걸리면 곤란해지곤 합니다 ㅋㅋ"
20,ELED341,영미소설이해(영강) [교육관 103호에서 교육관 403호로 강의실 변경],최석무,2019-2학기,전공선택,3,배고파진심으루,3,5,3,3,3,3,"늘 그렇듯 재밌으시고 읽는 작품도 다양해서 좋습니다
다만 시험때는 아는 걸 전부 써야 좋은 점수 주시는 것 같습니다
묻는 것에만 답했다가는 성적 낮게 나옵니다
그냥 붇는 작품에 대한 걸 전부 아는 거 쓰세요
그래야 에이 혹은 에이쁠 주십니다
교수님은 좋으신 분이세요

디스ㅓ션 많이 참여하세요"
