,과목코드,강의이름,교수이름,학기구분,이수구분,학점,사용자이름,총평,출석체크,난이도,학습량,학점,성취감,강의평
0,EMLA311,라틴아메리카와국제투자,장석영,2019-2학기,전공필수,3,쿠쿠쿸쿠,5,5,3,3,5,5,"라틴아메리카라는 이름을 달고 있기는 하지만 주된 내용이 남미를 다루지는 않습니다.

국제투자분쟁이라는 주제를 가지고 1학기를 이어가게 될텐데, 생소한 내용이지만 꽤나 재미있는 내용이었습니다. 단순히 라틴아메리카에 한정된 내용이 아니어서 더 흥미롭게 들을 수 있었던 것 같습니다.

중간, 기말 이외의 과제는 없으며 시험은 굉장히 직관적입니다. 자기 생각을 쓰는 것이 중요할 수도 있으나 수업시간에 다룬 내용을 잘 적기만 하면 학점을 잘 나올 것이라고 생각합니다.

게다가 교수님께서 학생들을 배려하는 모습이 보였어서 더 좋았습니다."
1,EMLA311,라틴아메리카와국제투자,장석영,2019-2학기,전공필수,3,뜨아악,5,5,4,2,4,4,"출석체크는 항상 하십니다.

과제는 하나도 없고

시험은 중간과 기말 둘다 진행합니다.

중간, 기말 모두 단답형과 서술형으로 이루어져 있습니다.

100% ppt로 수업을 진행하시고 시험문제도 ppt안에 다 있기 때문에 시험공부하는 데 큰 부담이 없습니다."
2,EMLA311,라틴아메리카와국제투자,장석영,2019-2학기,전공필수,3,노정우,4,5,4,4,3,5,국제투자 분쟁에 관한 수업인데 교수님이 그쪽으로 활동하시는 분이라 그러신지 알려주시는 지식도 많고 재밌었어요. 하지만 엄청 어려운 내용이 아니라서 공부를 거의 대부분 열심히 해서 학점을 잘 받지는 못했네요.
3,EMLA311,라틴아메리카와국제투자,장석영,2019-2학기,전공필수,3,카르멘,5,5,3,3,4,5,"이번 처음 수업하시는 교수님이셔서 후기가 없어 걱정했는데 진짜 2학기 중 가장 만족하는 강의에요! 교수님께서 매 수업마다 출석체크를 하시는데 중반 이후부터는 학생들 얼굴과 이름 다 아셔서 알아서 호명 안 하시고 체크하세요. 피피티 자료를 기반으로 수업하시는데 내용이 엄청 깔끔하게 정리되어 있고 수업시간에 안 나온다고 하는 건 절대 안 나옵니다. 그리고 수업시간도 항상 딱 맞춰서 끝내주셔서 정말 강의 들을 때마다 깔끔하다! 라는 생각밖에 안 들어요.
시험은 발표나 레포트 없이 딱 중간기말고사만 있고 서답형과 주관식 문제로 구성되어 있습니다."
4,EMLA311,라틴아메리카와국제투자,장석영,2019-2학기,전공필수,3,채야채,5,5,2,3,4,5,"제가 3년동안 들었던 수업 중에 손에 꼽게 좋았습니다.
과제 없고 토론 없고 퀴즈도 없습니다. 출석체크만 빡셀 뿐이지 올출석만 한다면 수업 잘 듣고 두 번 있는 시험준비 잘 하셔서 좋은 점수 받으실 수 있습니다. 교수님 강의와 수업자료 모두 너무 깔끔하고 귀에 쏙쏙 박히고... 질문도 친절하게 다 받아주시고 심지어 시험범위 많을까봐 걱정하셔서 내용을 줄여주시기도 하고 채점 기준도 명확하게 알려주셨습니다. 말이 국제투자인데 국제투자법을 배운다고 생각하시면 되고, 법 관련 과목은 처음 수강하는데 별다른 고비없이 A+ 받았습니다. 너무 좋았어요 진짜... 좋은 점이 한 두가지가 아닌데... 아마 이번에 처음 열렸던 강의고 교수님도 처음 강의하시는 걸로 알고 있는데 여러분 얼른 들으세요. EML 전공필수라 그냥 수강했다가 너무 행복했습니다. 이제 이 교수님을 따라다닐 거에요,,,,,,,"
5,EMLA311,라틴아메리카와국제투자,장석영,2019-2학기,전공필수,3,으으은,5,5,2,3,5,5,"출첵: 매일매일 하신다. 학기 중반부부터는 교수님이 학생 이름과 얼굴을 다 외우셔서 이름도 부르지 않고 체크하셨다.

학습량: 과제가 전혀 없고 중간과 기말 시험 두 번이 끝이다. 매 수업 시간마다 국제투자법에 대해 배우는데 간단한 역사나 조항을 설명한 뒤 그에 대한 사례를 학습하는 식이다. 하루에 다루는 ppt 양도 20장 내외이고 내용도 어렵지 않은편이라서 쉽게 따라갈 수 있다. 대부분의 내용은 ppt에 다 서술되어 있고 시험도 넓게넓게 문제를 내시는 편이라서 교수님이 말씀하시는 내용을 모두 받아적을 필요는 없다. 다만, 시험 문제 중에 전반적으로 융합해서 서술하고 자신의 의견을 제시하라는 질문도 마지막에 하나씩 있어서 수업 내용을 듣고 이해하는 게 중요하다.

학점: 수업만 잘 듣고 배운대로만 쓰면 성적을 매우 잘 주시는 편인 듯하다. 사실 시험 문제 자체가 나올만한 문제들이나 수업 중에 강조하신 부분에서 나오기 때문에 수업을 들었으면 점수를 깎일 요소가 별로 없을 듯하다.

나름 성취감도 있고 어렵지도 않고 성적도 잘 주시는 편이라서 무난하게 들을 만한 수업인 것 같다"
6,EMLA311,라틴아메리카와국제투자,장석영,2019-2학기,전공필수,3,힐러안하고싶은데,5,5,3,4,4,5,"솔직히 이번 학기, 아니 전 학년 통틀어서 가장 유익했던 수업이었습니다.
국제투자라고 하지만 정확하게는 국제투자법에 대해서 공부합니다. 처음에는 법이라길래 많은 걱정을 했어요. 그런데 교수님이 아주 처음부터 세세하게 가르쳐주시고, 수업도 잘 하실 뿐더러 ppt도 읽기 편했습니다.

출석은 매번 하시고, 저희는 강의 인원이 적어서 교수님이 나중에는 학생을 외워서(...) 출첵하시더라구요. 출장도 있으셨는데 특강으로 대체한 적 있습니다.

중간, 기말 두 번을 봅니다. 문제는 단답+주관+논술형인데 교수님 스타일은 하나라도 빠지지 않고 작성한다는 것이 중요한 것 같습니다. 틀린 내용은 당연히 적어서는 안되겠지만, 아시는 내용은 모조리 쓰는 게 나을 거예요. 중간고사에 드라고 주의라는 걸 쓰라고 했는데 간단하게만 적었다가 감점당한 적이 있습니다ㅠㅠ
교수님이 중간고사 성적을 종이에 적어서 개인에게 나눠주고요, 하나하나 해설도 하셨습니다.

시험도 나올 것 같은 것만 나왔고, 점수도 나쁘지 않게 받아서 만족스럽습니다.
추천드려요.

추천 안드려도 eml 전공 필수라서 들으셔야겠지만, 이 교수님 수업으로 듣는 게 나으실 것 같네요."
7,EMLA311,라틴아메리카와국제투자,장석영,2019-2학기,전공필수,3,니모,5,5,4,4,4,5,"이번 학기 처음으로 개설되었고 아무도 이 강의에 대해서 모르는 상태로 듣게 되었습니다.
그런데 라틴아메리카 국제투자'법'을 배우는 강의라고 하셔서 사실 처음에 많이 긴장했는데,
끝날 때 보니 배우는 과정도 가장 즐거웠고 성취감도 높았던 강의입니다. 수강하시는 걸 정말 추천해요

교수님께서 법학을 전공하셨기 때문에 관련 분야에 대해 아는 것이 많으시고
학생들이 배우는 데 어려움을 겪지 않도록 법 용어같은 것은 풀어서 설명해주시고, 투자법과 관련된 사례 등을 여러 가지 들어주셔서 즐겁게 배울 수 있었습니다. 중간에 이해가 잘 되었는지도 체크하시고, 질문도 잘 받아주시고 피드백도 잘 해 주십니다. 너무 좋았어요ㅎㅎ

과제는 딱히 없었고, 중간고사와 기말고사로만 평가가 이루어졌습니다.
객관식은 없었고, 서술형으로 핵심적인 내용을 서술하면 좋은 점수를 받을 수 있던 것 같습니다."
8,EMLA214,기초스페인어,조혜진,2019-2학기,전공선택,3,쿠쿠쿸쿠,5,5,3,3,5,5,"이번 학기에 들은 수업 중에서 가장 좋았고 감사한 수업이었습니다!!!!

다른 걸 다 떠나서 교수님이 너무 좋으시고 학생들을 최대한 배려해주시는 모습이 감동적입니다 ㅠㅠㅠ
중간고사, 기말고사, 그리고 진도를 나갈 때마다 단어시험을 보는 수업입니다.

중간, 기말은 주어진 범위를 달달 외우는 것이고 시험도 외우기만 하면 전부 쓸 수 있도록 출제해주십니다.

단어 시험도 그다지 부담스러운 수준은 전혀 아니며, 주말에만 잠깐 외워도 전부 맞을 수 있는 정도의 난이도입니다.

무엇보다도 강의 시간에 교수님께서 수업을 진행하는 방식이 굉장히 보기 좋고 감사했습니다."
9,EMLA214,기초스페인어,조혜진,2019-2학기,전공선택,3,노정우,5,5,4,5,5,5,스페인어에 관심이 생겨서 듣게 됬는데 교수님이 열정이 넘치셔서 수업 내용도 재밌었습니다. 근데 학습량도 많고 단어시험도 한과 나갈때마다 봐서 과제는 따로 없었지만 계속 시간을 내서 공부를 해야되는 과목이였습니다. 중간고사까지는 다들 열심히 했던거 같은데 기말고사때 범위랑 내용 수준이 높아져서 거의 반정도가 포기를 하는거 같았어요.(대신 중간고사는 어렵고 기말고사는 쉬워요) 교수님이 무조건 + 붙여주신다고 하셔서 어느정도 학점은 잘 주시는 편인거 같아요.
