,과목코드,강의이름,교수이름,학기구분,이수구분,학점,사용자이름,총평,출석체크,난이도,학습량,학점,성취감,강의평
0,FADM302,텍스타일디자인,이혜원,2019-2학기,전공선택,3,PANDAPANDA,5,3,2,1,5,5,처음 배우는 입장에서 이해하기 쉬우면서도 만족스러운 결과물 얻을 수 있게 도와주셔서 정말 보람 찼던 수업이에요!
1,FADM302,텍스타일디자인,이혜원,2019-2학기,전공선택,3,지유,5,1,2,1,5,4,"출석도 안하고 시험도 없고 최종 결과물만 제출하면 되는 수업입니다!
일러스트랑 포토샵을 아예 다뤄본적이 없으면
수업 진도가 조금 빠른편이기 때문에 힘드실 수도 있습니당
하지만 반대로 조금 다룰 줄 안다면 너무나도 편하고 재밌는 수업입니다
그리고 교수님 정말정말 천사시고 학점도 잘 주시고 최고세요!
실기 수업에 관심있다면 꼭꼭 들어보시길 추천합니당!"
2,FADM302,텍스타일디자인,이혜원,2019-2학기,전공선택,3,hahaha23,5,1,2,3,5,3,"일러스트레이터와 포토샵을 활용하여 간단한 패턴 디자인을 배울 수 있고
자신이 원하는 패턴으로 제품을 디자인 하는 수업과정도 있다.
난이도도 높지않고 학점도 잘 주심."
3,FADM302,텍스타일디자인,이혜원,2019-2학기,전공선택,3,수미니선비니,5,4,3,3,5,4,"교수님께서 천사십니다
툴은 일러스트와 포토샵을 다루고 여러가지 패턴들을 만듭니다
끝에서는 도식화도 배웠어요
툴 다룰 줄 몰라도 수업 잘 들으면 따라갈 수 있습니다
무엇보다 재밌어요!!"
4,FADM302,텍스타일디자인,이혜원,2019-2학기,전공선택,3,개운템플노루점핑,5,4,3,3,5,5,그동안 정말 듣고 싶었던 수업이었는데 4학년이 돼서 겨우 뚫었네요! 기다린 보람이 있는 수업이었습니다. 일러스트는 처음 다뤄 봤는데 친절하게 알려주시고 특히 학생들마다 개성을 잘 알아봐 주셔서 작업하는 보람이 많이 생겼어요. 이번 학기에는 학우분들이 다들 잘 따라와서 진도가 빨리 나갔고 도식화도 배워서 좋았어요! 다만 교육관 컴퓨터에 프로그램이 복불복으로 설치돼 있어서 좀 빨리 와서 자리를 선점하는 것이 좋습니다.
5,FADM402,패션포트폴리오제작및현장연구,김유로,2019-2학기,전공선택,3,키얍,4,5,3,4,4,4,"학점 잘 주시는 편
전체적인 완성도를 보시고 세부적인 디자인적 측면은 크게 신경 안쓰시는 편
수업 거의 안하고 맨날 가서 자기 포트폴리오 하는 시간을 주신다
그래서 딱히 뭔가 배운 느낌은 적다"
6,FADM402,패션포트폴리오제작및현장연구,김유로,2019-2학기,전공선택,3,이게뭐라고,3,5,4,4,4,3,졸업요건때문에 수강했는데 다른 연강과는 달리 수업 아주 늦게 끝나서 알바시간 조정해야 했습니다.
7,FADM402,패션포트폴리오제작및현장연구,김유로,2019-2학기,전공선택,3,굼마스틱,4,5,3,2,4,5,졸업 포폴 준비해야할 분들이 들으면 좋음. 아무래도 교수님이 아니라 실무자 분이시라 강의력 측면에서 잘 모르겠는건 ㅁ맞는데 자세히 알려주시려 노력함. 과제 피드백도 나름 잘해서 주심.
8,FADM304,"비주얼머천다이징 강의시간 및 담당교원 변경(2019.07.24), 강의실 변경(2019.09.03)",한정민,2019-2학기,전공선택,3,키얍,3,5,5,5,4,3,"이론양도 엄청 많고 팀플 양도 엄청 많다
팀 잘 만나는 것도 중요하다
교수님은 너무 좋고 열심히 하시지만 과제가 엄청 많은 편이라 힘들다
그래도 학점은 열심히 하면 잘 주심"
9,FADM304,"비주얼머천다이징 강의시간 및 담당교원 변경(2019.07.24), 강의실 변경(2019.09.03)",한정민,2019-2학기,전공선택,3,PANDAPANDA,5,5,4,5,5,5,연계 수업이라 그런가 더더욱 학생들에게 바라는 게 많으셨지만 누구보다 교수님 본인이 이 수업에 시간을 많이 빼앗기셨을거란 생각이 들었던 수업입니다. 한정민 교수님 프로페셔널 하시고 너무 좋았어요!
