,과목코드,강의이름,교수이름,학기구분,이수구분,학점,사용자이름,총평,출석체크,난이도,학습량,학점,성취감,강의평
0,FNEG211,사회과학도를위한계량금융 수업:정경관116호 전산실,김상권,2019-2학기,전공선택,3,wlslwlslwls,4,5,3,3,4,4,"처음 3~4주간은 MATLAB 기초를 배우고 그 후로 파생상품 이론을 배우며 MATLAB으로 구현하는 수업입니다. 매주 수업이 끝나면 블랙보드에 그날 수업 때 MATLAB으로 한 것을 올려야 되고, 과제가 4~5번 있었던 것 같은데 2번은 단순 조사 과제고, 나머지는 수업시간에 배운 코드를 약간 변형하는 과제입니다. 적당히 올리면 다 만점 주시는 것 같습니다. 중간고사는 없고 기말고사만 보는데 문항 수가 꽤 많고, 옵션 가격 계산하는 문제가 굉장히 많이 나옵니다. 이론을 설명하는 문제도 몇문제 있었습니다. 저는 몇 문제 못 적었는데 A+ 나온 것을 보니 학점을 잘 주시는 것 같습니다."
1,FNEG211,사회과학도를위한계량금융 수업:정경관116호 전산실,김상권,2019-2학기,전공선택,3,학점도너프해보시지,1,5,4,3,3,1,"1) 출석체크
- 금요일 1교시 수업임에도 항상 출석체크를 하셨지만, 3번?까지는 결석해도 된다고 하셨던 것 같습니다. 따라서 성적에는 별로 영향은 없습니다.
2) 난이도
- 옵션 위주의 파생상품을 배우면서, 매트랩 사용도 익혀야 하는 강의입니다. 둘중 하나라도 알고 계신분이라면 잘 하실 수 있을 것 같습니다. 다만, 저처럼 둘다 모르는 상태라면 강의를 따라가기 조금 버겁습니다.
3) 학습량
- 매주 강의내용 필기를 과제로 제출하게 하시고, 별도로 내시는 과제도 있습니다. 하지만, 제출만하면 점수를 주시기 때문에 영향은 크게 없습니다. 중간고사는 없었고, 기말만 있었습니다. 교수님께서 기말고사 전주에 어떤거 내실지 말씀해주시는데, 말씀하신 유형으로는 거의 안나왔습니다. 훼이크에 당하시지 마시고, 공식이나 열심히 외워가시기 바랍니다. 기말만 보면 되기 때문에 기말 기간에만 조금 힘듭니다.
4) 학점
- 훼이크에 당한 저는 기말을 매우 망쳤습니다. 다른 교수님의 같은 강의 클루평을 보면 조져도 에이는 나온다고 하는데, 그말에 속지 마세요. 이 교수님은 그렇지 않습니다.
5) 성취감
- 내용만 어렵고, 겉핥기식이라 배운 것이 없습니다.
6) **총평**
- 수감소감 평가에는 좋은 말만 써드렸지만, 이 교수님은 사실 굉장히 강의력이 나쁩니다. 강의의 짜임새가 엉망인 것은 두말할 필요도 없고, 뭘 설명하는지도 모르겠습니다. 전형적인 '본인만 똑똑한 초임교수' 스타일이십니다. 위에 언급한 것처럼 내용이 쉬운 편은 아닙니다. 물론 교수님께서는 모든 것을 알고 계시겠지만, 학생들이 어디쯤 이해하고 있는지 어떻게 이해시킬지는 생각을 안하시고 오시는 것 같습니다.
그리고 아침 수업에 교수님 본인께서 자꾸 지각을 하시는데, 그건 늦게 오는 학생들에 대한 배려가 아니라 정시에 온 학생들에 대한 기만이자, 교수로서의 태도가 부족하신 것임을 자각하셨으면 합니다."
2,FNEG211,사회과학도를위한계량금융 수업:정경관116호 전산실,김상권,2019-2학기,전공선택,3,139,5,5,4,3,5,5,"중간고사 전 기간(이 수업은 중간고사가 없었습니다)에는 matlab의 기본적인 사용법을 배우고 그 이후로 블랙숄즈나 이항트리를 통한 옵션 평가를 matlab을 통해서 하는 방법을 배웁니다. 수업시간이 끝나면 그 후 2시간정도 안에 수업시간에 쓴 코드를 제출하는 과제가 있었는데 교수님과 함께 코드를 짜는거라 수업시간에 열심히 따라가면 무리 없는 과제입니다. 이외에도 과제가 몇번 나가는데 다 수업시간에 짠 코드를 이용해서 간단한 작업을 하는 거라서 부담은 없습니다.
수업은 코딩이 중심이 되어 진행된 반면 시험의 경우 옵션 계산문제가 대부분을 차지했습니다. 나머지는 수업시간에 다룬 기본적인 개념을 묻는 문제와 코딩 빈칸채우기가 출제되었습니다.
교수님께서 강의명에 걸맞게 사회과학도 눈높이에서 가르치시려고 신경을 많이 쓰셔서 문과여도 편하게 들을 수 있었고 성적도 후하게 주셔서 좋은 수업이었습니다."
3,FNEG310,파생금융상품론,김상권,2019-2학기,전공선택,3,노예,3,5,3,3,3,3,"교수님이 학교에서 강의하시는 첫 학기라 여러가지 고민을 많이 하신 것 같습니다.

학기 중에 성적 평가 요소가 변하는 불확실성이 상당히 큰 과목입니다. 성적산정공식을 기말(퀴즈3)고사 전 주에 공지받았습니다. 그 전까지는 교수님도 확실히 정하신 게 없어서, 좋은 성적을 위해서는 그냥 매 퀴즈에 최선을 다해야 합니다.

이번 학기에는 중간고사와 기말고사가 없고, 대신 퀴즈 3개를 성적에 반영했습니다. 따라서 그냥 시험이 3개라고 생각하시면 됩니다. 좋은 점은 중간고사가 있는 주에 부담이 덜하다는 것이고(3번 퀴즈는 기말고사 주에 보았습니다.), 나쁜 점은 공부를 지속적으로 해야하는 점입니다.

문제출제방식도 퀴즈마다 달랐는데요, 1번 퀴즈는 교수님께서 직접 출제, 2번 퀴즈는 학생들이 자작한 문제들을 받아 출제, 3번 취즈는 75분동안 절대 다 못푸는 많은 문제들을 얼마나 많이 풀 수 있는 지를 보는 타임어택 형식이었습니다. 3번 퀴즈가 정말 괴악한게, 강의 내용을 복습 또 복습해도 못 푸는 난이도의 문제가 상당히 많았고, 풀 수는 있어도 시간이 오래 걸려 그냥 포기하는 것이 더 나은 문제들도 있었습니다.

다음학기에는 어떻게 개선될 지 모르겠지만, 이번 학기에는 상당히 불확실성이 강하고 공부도 쉽지는 않았던 것 같습니다."
4,FNEG310,파생금융상품론,김상권,2019-2학기,전공선택,3,REVENGE,5,5,3,3,4,5,"출석체크는 항상 하신다.

주식 공부가 처음이라 걱정을 좀 했는데 질문도 잘 받아주시고 하나하나 자세히 알려주셔서 좋았다.

실전에서 오셨던 분이라 배운 내용이 굉장히 실제에 도움이 돼서 좋다.

학생들 의견을 많이 반영해주신다. 공부양도 많지 않고 실용적인 것을 배워서 좋았다.

학점은 한만큼 주신다. 책은 굳이 사지 않아도 되지만 연습문제 풀이 때문에 사는 것을 추천한다."
5,FNEG310,파생금융상품론,김상권,2019-2학기,전공선택,3,아델리스,2,4,2,2,1,1,"선물 옵션을 듣고 수강해서 딱히 배운거는 없습니다.
교수님이 출첵 매일하지만 지각도 자주해서 9:5분쯤 되야 출석하는 경우가 잦습니다.
아이패드로 수업하는데 준비가 안된 경우도 많아 칠판에 하는 경우도 많습니다.
처음엔 과제 있다고 했다가 기말 직전에 과제가 없어지고 시험이 한번 늘고 좀 그렇습니다.
1차 2차 시험은 개쉽고 3차시험은 어려운 편입니다. 아마 첫 수업이라 난이도 조절을 잘 못하는 것 같습니다.
19명 수업이라 성적을 잘 줄려는 것 같았는데 실제 분포는 확인하지 못했습니다.
전체적으로 할게 없는 편한 수업입니다 금공 융합전공 학점채우기에는 편하니까 들으시는걸 추천합니다.
1년에 한번씩 교수님이 바뀌는 것 같아 다음학기에도 이 교수님이 하실지는 의문입니다."
6,FNEG310,파생금융상품론,김상권,2019-2학기,전공선택,3,포이보스,3,5,4,4,3,3,"음 일단 수업은 그렇게 잘하시진 않아요
핵심적인 내용이 뭔지 잘 모르겠어요
컴퓨터로 필기하면서 설명하시는데
딱 정리된 필기를 하시는게 아니라
그냥 말하면서 쓰는 느낌..?
그래서 수업 안듣고 필기만 보면
무슨 내용인지 하나도 이해가 안돼요..

출석체크는 매일 하십니다

시험은 3번 보셨는데
어떤 시험은 엄청 어렵고 어떤 시험은 엄청 쉽고..
일관성이 없었어요
강의를 많이 해보시지 않은 것 같아서 여러가지 시험해보시는 것 같았어요
다음에는 어떨지 모르겠네요

학점은 + 안붙여주심.. B받았어요...속상"
7,FNEG310,파생금융상품론 (강사변동: 황인준선생님/인원제한:17명),황인준,2019-1학기,전공선택,3,꾸꾸까까,5,1,4,4,4,5,"이번 학기 수강과목 중에서 가장 만족스러웠던 강의입니다!
무출석, 과제4번, 퀴즈2번, 중간/기말고사로 평가되는 깔끔한 과목입니다. 평가기준은 명확하며 교수님의 피드백이 빠르고 확실해서 정말 편했습니다. 수강생들 배려 정말 많이해주셔서 학기 내내 좋았습니다.
강의진행은 미리 업로드 해주신 강의안으로 진행되며, 초반 5-10분동안 지난 시간 수업리뷰를 해주십니다. 강의안 자체가 정말 깔끔하고 일목요연하게 잘 정리되어 있어서 오픈북 시험이었던 중간/기말고사 때 큰 어려움이 없었습니다. 매 수업시간이 종료되면 교수님필기본이 업로드 되기 때문에 수업시간에 필기 부담이 많이 없습니다.
과제는 정답여부로 채점되는 것이 아니고 얼마나 성의있게, 고민하면서 풀이를 작성했는지에 따라 점수가 나옵니다. 그래서 과제를 하는 것에 대한 부담이 적어서 정말 좋았습니다.
퀴즈는 closed book으로 이루어지지만, 과제 기반 + 수업시간 강조 내용을 출제하시기에 부담이 적습니다. 중간/기말고사도 출제유형이나 어떤 주제를 출제하셨는지를 큰 틀에서 알려주십니다. 오피스아워때 찾아가서 질문하면 정말 친절하게 잘 받아주십니다. 정말 한 학기내내 잘 들었습니다. 교수님 정말 좋아요!! 추천합니다!!"
8,FNEG310,파생금융상품론 (강사변동: 황인준선생님/인원제한:17명),황인준,2019-1학기,전공선택,3,바뱌바뱌,5,1,4,3,5,4,"교수님이 정말 좋으시다.
출석은 거의 하지 않고 내용이 어렵지만 교수님이 찝어주신 부분만 잘 보면 된다."
9,FNEG310,파생금융상품론 (강사변동: 황인준선생님/인원제한:17명),황인준,2019-1학기,전공선택,3,빛나는별,5,1,3,3,5,5,강의에 열성적으로 임하시고 학생들을 배려해 주시는 강사님이셨어요 다시 다른 강의 맡아주신다 하면 무조건 들을 의향 있습니다 여러모로 여러분이 찾는 그런 강의입니다
